Astoria-Long Island City,Astoria-Long Island City	19016,151145.03,8300.13
Astoria-Long Island City,Auburndale	26,848.60,44.60
Astoria-Long Island City,Battery Park	98,3466.62,375.15
Astoria-Long Island City,Bay Ridge	30,1422.70,101.20
Astoria-Long Island City,Baychester	2,78.33,0.00
Astoria-Long Island City,Bedford Park	26,1119.66,95.89
Astoria-Long Island City,Bedford-Stuyvesant	225,6527.06,461.23
Astoria-Long Island City,Bensonhurst	9,518.10,60.10
Astoria-Long Island City,Boerum Hill	55,1795.65,181.65
Astoria-Long Island City,Borough Park	40,1796.76,147.43
Astoria-Long Island City,Brownsville	10,406.60,18.60
Astoria-Long Island City,Bushwick	203,5453.54,384.71
Astoria-Long Island City,Canarsie	13,666.65,25.15
Astoria-Long Island City,Carnegie Hill	133,2770.60,256.29
Astoria-Long Island City,Carroll Gardens	59,2210.94,239.61
Astoria-Long Island City,Central Park	337,6628.51,582.93
Astoria-Long Island City,Chelsea	1209,29045.04,2668.59
Astoria-Long Island City,Chinatown	55,1587.13,134.47
Astoria-Long Island City,City Island	1,48.33,0.00
Astoria-Long Island City,Clearview	17,698.45,54.45
Astoria-Long Island City,Clinton	803,17620.53,1328.31
Astoria-Long Island City,Cobble Hill	19,590.29,70.29
Astoria-Long Island City,Corona	2,24.00,0.00
Astoria-Long Island City,Country Club	5,202.66,7.17
Astoria-Long Island City,Douglastown-Little Neck	25,1170.10,126.10
Astoria-Long Island City,Downtown	90,2721.25,253.75
Astoria-Long Island City,Dyker Heights	8,332.50,4.00
Astoria-Long Island City,East Brooklyn	39,1589.10,79.60
Astoria-Long Island City,East Harlem	279,5987.06,360.18
Astoria-Long Island City,East Village	892,19608.42,1650.98
Astoria-Long Island City,Financial District	552,16797.20,1453.92
Astoria-Long Island City,Flushing	334,8191.63,605.80
Astoria-Long Island City,Fordham	16,621.00,35.04
Astoria-Long Island City,Forest Hills	467,11364.33,750.17
Astoria-Long Island City,Fort Green	289,8268.88,799.38
Astoria-Long Island City,Garment District	1242,27539.25,2487.95
Astoria-Long Island City,Glendale	45,1283.15,59.65
Astoria-Long Island City,Gramercy	2084,41721.51,3723.96
Astoria-Long Island City,Gravesend-Sheepshead Bay	25,1450.75,59.42
Astoria-Long Island City,Greenwich Village	645,15401.25,1371.50
Astoria-Long Island City,Greenwood	27,1100.29,103.29
Astoria-Long Island City,Hamilton Heights	197,5757.91,379.61
Astoria-Long Island City,Harlem	483,11977.78,790.41
Astoria-Long Island City,High Bridge	79,2258.92,140.95
Astoria-Long Island City,Hunts Point	22,610.92,31.63
Astoria-Long Island City,Inwood	44,1600.92,73.33
Astoria-Long Island City,Jackson Heights	2384,30367.05,1199.89
Astoria-Long Island City,Jamaica	122,4283.38,261.38
Astoria-Long Island City,Kings Bridge	20,825.79,70.33
Astoria-Long Island City,Laurelton	3,142.00,5.00
Astoria-Long Island City,Little Italy	110,2954.62,318.30
Astoria-Long Island City,Lower East Side	619,15924.70,1314.90
Astoria-Long Island City,Mapleton-Flatlands	36,1629.02,114.69
Astoria-Long Island City,Maspeth	242,3915.31,141.98
Astoria-Long Island City,Middle Village	88,2013.10,105.10
Astoria-Long Island City,Midtown	5389,92698.70,7894.19
Astoria-Long Island City,Morningside Heights	166,4899.67,502.60
Astoria-Long Island City,Morris Heights	24,796.87,13.25
Astoria-Long Island City,Morris Park	22,762.57,24.31
Astoria-Long Island City,Mott Haven	138,3169.38,108.98
Astoria-Long Island City,Murray Hill	1000,18151.99,1594.30
Astoria-Long Island City,Nkew Gardens	194,5545.39,367.56
Astoria-Long Island City,North Sutton Area	665,9151.04,697.73
Astoria-Long Island City,Park Slope	172,6355.28,654.78
