pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,287773,4788488.6,449749.5,0.0939
Williamsburg,66280,1040235.25,100485.14,0.0966
West Village,395892,4884451.16,468314.71,0.0959
Ridgewood,532,8149.69,528.28,0.0648
Clearview,15,335.71,33.88,0.1009
Williams Bridge,136,2195.04,120.72,0.055
Cobble Hill,9600,176612.07,18348.48,0.1039
Inwood,945,17747.45,1295.88,0.073
Queens Village,82,1698.96,98.19,0.0578
Auburndale,88,1296.84,94.68,0.073
Jackson Heights,9358,176741.6,11497.25,0.0651
Bensonhurst,268,4236.01,304.79,0.072
University Heights,266,3956.49,202.95,0.0513
Greenwood,1688,29386.81,2865.62,0.0975
Wakefield-Williamsbridge,86,1698.52,78.06,0.046
Park Slope,16861,257982.23,23475.75,0.091
Chinatown,53940,746633.52,56491.16,0.0757
Corona,566,21798.95,2244.83,0.103
South Bronx,1130,16050.39,714.28,0.0445
Sunny Side,47864,820987.26,62711.09,0.0764
Soho,348686,4438525.85,420387.43,0.0947
Dyker Heights,183,2854.63,204.03,0.0715
Upper West Side,1179267,13785172.98,1170917.96,0.0849
Harlem,71923,976371.15,76832.18,0.0787
Bay Ridge,730,13844.12,1095.4,0.0791
Woodhaven-Richmond Hill,451,8713.28,522.4,0.06
Jamaica,2980,158256.86,13597.85,0.0859
Bedford Park,202,4062.19,220.89,0.0544
East Village,554910,6962407.91,665557.5,0.0956
Hunts Point,179,2767.04,193.4,0.0699
Gravesend-Sheepshead Bay,644,11129.95,778.33,0.0699
Lower East Side,345548,4716323.24,438566.35,0.093
Mapleton-Flatlands,1406,21559.46,1448.91,0.0672
Baychester,17,388.22,30.72,0.0791
Upper East Side,1941569,22216257.54,1863741.32,0.0839
Union Port,240,3948.57,305.48,0.0774
Central Park,181054,2086081.82,168225.17,0.0806
Country Club,41,904.09,21.6,0.0239
Greenwich Village,723330,8619069.62,803556.81,0.0932
Forest Hills,5616,109465.73,7526.72,0.0688
Middle Village,219,3726.85,248.56,0.0667
Downtown,33997,564841.73,50431.13,0.0893
Morris Heights,489,7270.54,423.23,0.0582
Steinway,49,707.22,73.72,0.1042
Utopia,1043,34978.1,2930.9,0.0838
Boerum Hill,21252,325308.45,29093.87,0.0894
Fort Green,33842,529187.95,45683.24,0.0863
Brownsville,301,4522.68,236.6,0.0523
Bushwick,3196,48419.1,4135.73,0.0854
Clinton,486584,5843590.61,493386.0,0.0844
City Island,54,604.51,50.01,0.0827
Borough Park,1785,31393.56,2475.48,0.0789
Gramercy,1224646,13967685.18,1330894.47,0.0953
Astoria-Long Island City,68073,1023388.53,72644.01,0.071
Garment District,816096,9615814.5,763846.3,0.0794
Morningside Heights,109323,1540071.61,139624.88,0.0907
Flushing,1524,41123.0,3403.97,0.0828
East Harlem,52329,663907.09,44427.28,0.0669
Mott Haven,3704,50726.0,2554.43,0.0504
Washington Heights,19013,365372.91,32283.57,0.0884
Carroll Gardens,24258,435433.24,44632.86,0.1025
Flatbush,24,371.65,42.65,0.1148
Laurelton,53,1629.11,136.38,0.0837
Canarsie,316,6943.97,673.3,0.097
Tribeca,262896,3606304.98,352793.56,0.0978
The Rockaways,37,830.59,37.92,0.0457
High Bridge,1137,17408.65,881.45,0.0506
Midtown,2435976,28481804.81,2489093.19,0.0874
Saintalbans,86,1439.27,98.65,0.0685
Queensboro Hill,128,2339.45,158.01,0.0675
Tremont,358,6109.51,292.89,0.0479
Chelsea,1029480,12001948.59,1142642.59,0.0952
Carnegie Hill,157904,1806191.53,143283.52,0.0793
Douglastown-Little Neck,298,4821.14,471.24,0.0977
Murray Hill,512346,5864332.51,534913.62,0.0912
East Brooklyn,331,6596.62,459.01,0.0696
Nkew Gardens,1626,37894.4,2830.39,0.0747
Springfield Gardens,406,19011.86,1503.76,0.0791
Woodlawn-Nordwood,79,1754.74,131.85,0.0751
Hamilton Heights,29813,457166.05,36263.63,0.0793
Parkchester,481,7543.05,486.97,0.0646
Bedford-Stuyvesant,6022,89152.44,6989.24,0.0784
Morris Park,193,3529.21,219.46,0.0622
Sunset Park,683,12035.32,843.53,0.0701
Woodside,11811,184834.85,10870.31,0.0588
Maspeth,1221,43730.72,3656.89,0.0836
Throggs Neck,80,1489.59,90.12,0.0605
North Sutton Area,158596,1804791.89,150431.74,0.0834
Soundview,288,4695.54,284.6,0.0606
Glendale,201,3452.0,198.06,0.0574
Little Italy,143021,1807869.28,172655.71,0.0955
Riverdale,153,2747.84,200.67,0.073
Fordham,206,3368.85,170.57,0.0506
Yorkville,123164,1542600.94,117742.64,0.0763
Kings Bridge,247,3302.31,166.64,0.0505
Spuyten Duyvil,87,2275.61,208.67,0.0917
Battery Park,117064,1925931.16,197794.24,0.1027
