pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,289171,4915011.57,459983.68,0.0936
Williamsburg,80260,1316357.51,130239.41,0.0989
West Village,387899,5002168.76,483772.64,0.0967
Ridgewood,749,12255.16,891.16,0.0727
Upper West Side,1067891,12898849.38,1156507.21,0.0897
Williams Bridge,47,898.13,38.98,0.0434
Cobble Hill,9009,172318.68,18551.35,0.1077
Inwood,778,15415.72,1194.68,0.0775
Queens Village,89,1401.71,79.72,0.0569
Auburndale,51,937.32,43.5,0.0464
Gramercy,1051595,12535247.12,1221279.1,0.0974
Chelsea,964423,11736174.12,1146898.05,0.0977
University Heights,156,2638.33,293.35,0.1112
Greenwood,1835,33770.79,3663.16,0.1085
Wakefield-Williamsbridge,54,1035.26,40.2,0.0388
Park Slope,17191,277196.36,27211.76,0.0982
Chinatown,48792,698304.26,53369.23,0.0764
Corona,520,21618.31,2288.62,0.1059
South Bronx,649,9416.88,487.76,0.0518
Sunny Side,42108,733208.74,58557.66,0.0799
Soho,324714,4293422.13,412241.51,0.096
Dyker Heights,96,2227.01,174.05,0.0782
Clearview,25,546.07,56.98,0.1043
Harlem,59650,849222.73,73821.64,0.0869
Bay Ridge,605,12266.82,1015.17,0.0828
Woodhaven-Richmond Hill,461,10190.81,496.61,0.0487
Jamaica,3171,166891.68,14497.7,0.0869
Bedford Park,140,2978.54,260.96,0.0876
East Village,479720,6238217.91,609478.76,0.0977
Hunts Point,70,1115.09,98.6,0.0884
Gravesend-Sheepshead Bay,416,7332.06,558.13,0.0761
Lower East Side,312956,4466132.92,422774.31,0.0947
Mapleton-Flatlands,1139,19131.68,1428.7,0.0747
Baychester,8,167.6,9.77,0.0583
Upper East Side,1728969,20449689.04,1776407.19,0.0869
Union Port,159,2758.69,179.65,0.0651
Central Park,180058,2159331.4,182247.31,0.0844
Woodside,9832,152777.93,8980.51,0.0588
Greenwich Village,640974,7932173.94,753453.75,0.095
Forest Hills,4520,94755.92,7011.37,0.074
Middle Village,275,4228.25,274.06,0.0648
Downtown,33927,575085.06,54070.61,0.094
Morris Heights,212,3210.79,157.8,0.0491
Steinway,14,255.82,28.82,0.1127
Utopia,1107,34062.36,2605.79,0.0765
Boerum Hill,19955,315173.32,29853.24,0.0947
Fort Green,37195,607378.81,57626.2,0.0949
Brownsville,169,2932.39,255.57,0.0872
Bushwick,5306,85755.69,7820.59,0.0912
Clinton,439208,5477197.34,473939.48,0.0865
City Island,3,142.93,16.6,0.1161
Borough Park,1446,29216.28,2552.74,0.0874
Jackson Heights,9283,185169.8,12718.14,0.0687
Astoria-Long Island City,58282,906668.04,67401.34,0.0743
Bensonhurst,178,3079.42,205.4,0.0667
Garment District,716168,8822688.54,726741.44,0.0824
Morningside Heights,92739,1331635.3,126477.44,0.095
Flushing,2953,92255.36,7893.14,0.0856
East Harlem,40680,537386.49,41101.23,0.0765
Mott Haven,2671,40242.41,2106.16,0.0523
Carroll Gardens,24919,462987.0,48966.9,0.1058
Flatbush,39,689.75,74.09,0.1074
Laurelton,62,1773.16,124.36,0.0701
Canarsie,201,3832.76,351.29,0.0917
Tribeca,244379,3456162.28,346473.8,0.1002
The Rockaways,26,752.18,98.35,0.1308
High Bridge,973,18581.46,1273.72,0.0685
Midtown,2054552,25265997.31,2270690.19,0.0899
Saintalbans,33,600.74,62.59,0.1042
Queensboro Hill,147,2301.54,142.98,0.0621
Tremont,153,2790.39,136.92,0.0491
Washington Heights,15874,321570.07,30372.79,0.0945
Carnegie Hill,152831,1807267.7,153137.63,0.0847
Douglastown-Little Neck,170,3414.87,188.08,0.0551
Murray Hill,432656,5161941.16,480515.4,0.0931
East Brooklyn,236,5506.97,493.52,0.0896
Nkew Gardens,1476,35266.26,2529.46,0.0717
Springfield Gardens,323,14681.73,1201.86,0.0819
Woodlawn-Nordwood,46,747.94,63.61,0.085
Hamilton Heights,24061,392197.88,34335.4,0.0875
Parkchester,212,3237.2,189.22,0.0585
Bedford-Stuyvesant,6860,106805.38,9327.4,0.0873
Morris Park,134,2542.76,201.45,0.0792
Sunset Park,763,14113.18,1059.62,0.0751
Country Club,35,783.65,96.5,0.1231
Maspeth,1150,37252.55,3298.54,0.0885
Throggs Neck,60,1197.0,73.04,0.061
North Sutton Area,136765,1615847.63,137547.14,0.0851
Soundview,179,2632.09,179.61,0.0682
Glendale,213,3517.39,254.59,0.0724
Little Italy,124561,1649615.14,157937.99,0.0957
Riverdale,135,2548.48,211.79,0.0831
Fordham,134,2497.56,154.15,0.0617
Yorkville,102491,1319119.48,106016.8,0.0804
Kings Bridge,190,3354.35,278.51,0.083
Spuyten Duyvil,50,1067.68,82.74,0.0775
Battery Park,110089,1830548.37,186390.76,0.1018
