pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,274005,4715524.12,438050.02,0.0929
Williamsburg,67588,1090975.57,105436.69,0.0966
West Village,386561,4981463.74,472187.95,0.0948
Ridgewood,482,7809.88,562.75,0.0721
Upper West Side,1154522,13922237.58,1200479.14,0.0862
Williams Bridge,68,1236.66,120.16,0.0972
Cobble Hill,9334,172342.62,18184.12,0.1055
Inwood,866,17064.78,1279.13,0.075
Queens Village,93,1877.58,83.94,0.0447
Auburndale,82,1502.02,75.37,0.0502
Gramercy,1099291,12921804.57,1226160.03,0.0949
Chelsea,973622,11854489.28,1129146.97,0.0953
University Heights,139,2688.7,157.16,0.0585
Greenwood,1872,34568.28,3188.87,0.0922
Wakefield-Williamsbridge,87,1602.55,95.4,0.0595
Park Slope,16350,258967.63,23989.32,0.0926
Chinatown,46980,670197.25,50781.65,0.0758
Corona,501,20109.01,2025.76,0.1007
South Bronx,625,9340.33,523.02,0.056
Sunny Side,43205,756575.33,58542.41,0.0774
Soho,321229,4232670.02,399677.63,0.0944
Dyker Heights,125,2321.24,190.29,0.082
Clearview,58,1014.11,80.96,0.0798
Harlem,61421,863851.24,70684.31,0.0818
Bay Ridge,682,12337.03,828.51,0.0672
Woodhaven-Richmond Hill,392,9051.06,680.43,0.0752
Jamaica,3144,167975.52,14351.58,0.0854
Bedford Park,144,2604.14,177.47,0.0681
East Village,483040,6200254.79,593981.22,0.0958
Hunts Point,106,1584.13,96.81,0.0611
Gravesend-Sheepshead Bay,486,8683.41,586.64,0.0676
Lower East Side,318667,4465228.24,412746.01,0.0924
Mapleton-Flatlands,1215,18166.06,1202.15,0.0662
Baychester,16,267.5,1.0,0.0037
Upper East Side,1874062,22050545.96,1851037.9,0.0839
Union Port,190,2885.74,153.76,0.0533
Central Park,194153,2316022.22,188607.36,0.0814
Woodside,10521,163584.66,9552.81,0.0584
Greenwich Village,655497,8091391.06,752025.57,0.0929
Forest Hills,5175,104678.41,7198.0,0.0688
Middle Village,220,4246.15,251.88,0.0593
Downtown,34133,580317.34,52903.18,0.0912
Morris Heights,243,3398.46,186.7,0.0549
Steinway,69,832.79,86.96,0.1044
Utopia,944,31845.96,2561.51,0.0804
Boerum Hill,19451,303312.58,27839.9,0.0918
Fort Green,33162,527906.9,47315.29,0.0896
Brownsville,216,3630.02,176.37,0.0486
Bushwick,3192,49917.44,4399.35,0.0881
Clinton,450637,5604297.22,475204.19,0.0848
City Island,2,128.0,19.5,0.1523
Borough Park,2322,39277.81,3175.84,0.0809
Jackson Heights,9349,178106.91,11631.33,0.0653
Astoria-Long Island City,63507,994360.36,74008.41,0.0744
Garment District,715932,8668979.07,691810.49,0.0798
Morningside Heights,109633,1582927.05,143487.65,0.0906
Flushing,1598,43940.93,3271.7,0.0745
East Harlem,42482,560094.1,40129.66,0.0716
Mott Haven,2918,42854.67,2126.41,0.0496
Washington Heights,17381,345353.45,31574.39,0.0914
Carroll Gardens,25094,457549.0,47633.53,0.1041
Flatbush,41,642.1,52.6,0.0819
Laurelton,76,2351.74,252.97,0.1076
Canarsie,161,3630.24,230.42,0.0635
Tribeca,240544,3422780.34,335382.19,0.098
The Rockaways,71,1352.11,119.69,0.0885
High Bridge,1034,17952.35,990.26,0.0552
Midtown,2180387,26350043.53,2302466.95,0.0874
Saintalbans,60,890.17,68.11,0.0765
Queensboro Hill,140,2897.97,385.27,0.1329
Tremont,229,3837.45,250.82,0.0654
Bensonhurst,233,3969.37,235.35,0.0593
Carnegie Hill,170455,2025165.43,163776.91,0.0809
Douglastown-Little Neck,206,3979.21,321.82,0.0809
Murray Hill,460410,5404384.23,488802.93,0.0904
East Brooklyn,295,7337.94,496.14,0.0676
Nkew Gardens,1357,31953.11,2254.96,0.0706
Springfield Gardens,419,20802.62,1762.3,0.0847
Woodlawn-Nordwood,44,786.9,23.4,0.0297
Hamilton Heights,26151,420421.15,35299.84,0.084
Parkchester,259,4689.47,458.01,0.0977
Bedford-Stuyvesant,5608,85848.05,6782.66,0.079
Morris Park,106,2356.24,126.98,0.0539
Sunset Park,716,12322.7,837.68,0.068
Country Club,39,898.55,84.22,0.0937
Maspeth,1272,42626.98,3437.06,0.0806
Throggs Neck,47,1016.3,117.66,0.1158
North Sutton Area,150609,1766142.87,147127.91,0.0833
Soundview,175,2707.88,156.39,0.0578
Glendale,153,2950.24,247.76,0.084
Little Italy,125597,1640026.43,155449.31,0.0948
Riverdale,156,3202.88,268.85,0.0839
Fordham,152,2729.27,120.95,0.0443
Yorkville,110042,1416249.33,109853.23,0.0776
Kings Bridge,233,3948.81,223.79,0.0567
Spuyten Duyvil,76,1698.77,147.81,0.087
Battery Park,115406,1940365.42,194599.67,0.1003
