pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,242180,4144874.54,410518.72,0.099
Williamsburg,67838,1110755.74,114460.86,0.103
West Village,333074,4277209.78,428156.02,0.1001
Ridgewood,462,7119.24,548.06,0.077
Jackson Heights,8136,150380.98,10822.37,0.072
Williams Bridge,61,1258.21,90.22,0.0717
Cobble Hill,7866,148406.28,16727.02,0.1127
Inwood,716,13852.8,1255.28,0.0906
Harlem,51928,711709.37,61631.62,0.0866
Auburndale,47,1153.76,31.61,0.0274
Gramercy,992067,11808927.29,1188342.12,0.1006
Chelsea,852622,10446471.27,1045696.75,0.1001
University Heights,140,2295.82,121.5,0.0529
Greenwood,1488,26924.73,3028.01,0.1125
Wakefield-Williamsbridge,49,1102.7,38.2,0.0346
Park Slope,16181,258373.68,26319.33,0.1019
Chinatown,41687,588844.8,48820.12,0.0829
Corona,407,16661.76,1956.68,0.1174
South Bronx,546,8271.1,579.28,0.07
Sunny Side,39619,690385.92,59106.39,0.0856
Soho,278649,3665472.19,363641.1,0.0992
Clearview,7,252.55,25.89,0.1025
Dyker Heights,104,1869.96,108.32,0.0579
Upper West Side,1038415,12459959.99,1131574.33,0.0908
Queens Village,68,1078.8,54.32,0.0504
Bay Ridge,509,9822.08,869.95,0.0886
Woodhaven-Richmond Hill,415,8126.26,645.73,0.0795
Jamaica,2634,136823.58,12340.11,0.0902
Bedford Park,147,3549.33,207.14,0.0584
East Village,457165,5934901.3,602555.76,0.1015
Hunts Point,71,1131.65,71.0,0.0627
Gravesend-Sheepshead Bay,337,7701.49,675.38,0.0877
Lower East Side,288300,4078852.33,403276.44,0.0989
Mapleton-Flatlands,1001,16952.43,1266.53,0.0747
Baychester,12,366.93,12.77,0.0348
Upper East Side,1705767,20263182.65,1807950.52,0.0892
Union Port,157,2498.59,165.28,0.0661
Central Park,165164,1971340.26,171946.98,0.0872
Woodside,8749,137571.19,8423.57,0.0612
Greenwich Village,594211,7354574.8,722802.24,0.0983
Forest Hills,4004,83475.2,6398.9,0.0767
Middle Village,217,3896.74,258.78,0.0664
Downtown,28059,474662.35,45687.72,0.0963
Morris Heights,179,2747.92,157.42,0.0573
Steinway,16,197.2,20.7,0.105
Utopia,1004,30523.53,2610.98,0.0855
Boerum Hill,16654,261240.73,25821.87,0.0988
Fort Green,34146,547758.52,53778.84,0.0982
Brownsville,135,2506.0,176.64,0.0705
Bushwick,4713,76139.39,7785.39,0.1023
Clinton,392246,4876788.16,439560.79,0.0901
City Island,8,193.9,15.9,0.082
Borough Park,1291,25700.58,2295.88,0.0893
Parkchester,220,3904.43,235.64,0.0604
Astoria-Long Island City,50457,778139.67,61063.82,0.0785
Garment District,637246,7810609.21,659862.58,0.0845
Morningside Heights,75057,1066989.26,103429.44,0.0969
Flushing,1696,39728.37,3215.71,0.0809
East Harlem,33223,433896.73,31654.03,0.073
Mott Haven,2157,31296.99,1789.07,0.0572
Washington Heights,12708,244550.7,22849.44,0.0934
Carroll Gardens,21485,394732.07,42899.06,0.1087
Flatbush,20,321.55,22.72,0.0707
Laurelton,48,1744.2,150.91,0.0865
Canarsie,143,3026.02,230.89,0.0763
Tribeca,222847,3146424.18,326799.83,0.1039
The Rockaways,34,1073.95,44.47,0.0414
High Bridge,744,12374.85,745.82,0.0603
Midtown,1956945,24123431.76,2218764.26,0.092
Saintalbans,59,1270.94,106.28,0.0836
Queensboro Hill,98,1501.54,103.72,0.0691
Tremont,120,1935.42,88.26,0.0456
Bensonhurst,162,3021.24,185.96,0.0616
Carnegie Hill,158311,1892814.02,162993.41,0.0861
Douglastown-Little Neck,118,2905.61,222.16,0.0765
Murray Hill,400461,4758955.59,453576.97,0.0953
East Brooklyn,194,4027.81,302.77,0.0752
Nkew Gardens,1297,31676.77,2630.45,0.083
Springfield Gardens,205,10061.48,921.01,0.0915
Woodlawn-Nordwood,62,1204.31,190.37,0.1581
Hamilton Heights,19820,313943.04,27576.85,0.0878
Bedford-Stuyvesant,6540,102796.54,9889.14,0.0962
Morris Park,90,1779.67,217.85,0.1224
Sunset Park,588,11383.55,915.26,0.0804
Country Club,32,551.53,47.53,0.0862
Maspeth,934,30504.19,2855.66,0.0936
Throggs Neck,85,1760.86,121.19,0.0688
North Sutton Area,137803,1611567.48,141103.12,0.0876
Soundview,168,2470.45,160.64,0.065
Glendale,131,1995.68,175.9,0.0881
Little Italy,117331,1530171.87,152362.9,0.0996
Riverdale,104,2591.94,326.6,0.126
Fordham,138,2499.98,181.22,0.0725
Eastchester,2,16.0,1.0,0.0625
Yorkville,90114,1157788.42,95176.54,0.0822
Kings Bridge,173,3271.31,179.72,0.0549
Spuyten Duyvil,54,1225.28,64.84,0.0529
Battery Park,100984,1665298.75,176761.94,0.1061
