pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,276394,4660255.97,418154.94,0.0897
Williamsburg,62666,1005927.21,97899.19,0.0973
West Village,336280,4275753.9,408169.8,0.0955
Ridgewood,497,7938.61,555.31,0.07
Upper West Side,852828,10121535.8,887494.75,0.0877
Williams Bridge,33,530.37,12.71,0.024
Cobble Hill,7418,139195.36,14908.86,0.1071
Inwood,713,15969.11,1821.0,0.114
Queens Village,73,1028.76,35.1,0.0341
Auburndale,68,1467.55,157.73,0.1075
Jackson Heights,8196,162130.41,10267.82,0.0633
Bensonhurst,158,3221.8,178.92,0.0555
University Heights,117,1926.09,90.78,0.0471
Greenwood,1752,31525.41,3104.41,0.0985
Wakefield-Williamsbridge,67,1887.43,104.45,0.0553
Park Slope,13272,210884.98,20192.82,0.0958
Chinatown,42813,602755.81,43026.93,0.0714
Corona,466,18624.85,1919.37,0.1031
South Bronx,605,8872.27,495.58,0.0559
Sunny Side,40311,690114.14,53097.09,0.0769
Soho,289376,3764255.06,352748.02,0.0937
Dyker Heights,104,2347.19,139.97,0.0596
Clearview,31,592.71,63.04,0.1064
Harlem,52276,735173.12,61784.23,0.084
Bay Ridge,508,9702.35,703.11,0.0725
Woodhaven-Richmond Hill,402,8535.88,466.99,0.0547
Jamaica,2660,138263.02,11174.23,0.0808
Bedford Park,114,2185.91,153.13,0.0701
East Village,430315,5508343.71,536758.7,0.0974
Hunts Point,105,1838.75,64.26,0.0349
Gravesend-Sheepshead Bay,420,8408.35,662.9,0.0788
Lower East Side,273737,3835564.7,357613.22,0.0932
Mapleton-Flatlands,1192,19540.67,1148.77,0.0588
Baychester,18,397.7,9.2,0.0231
Upper East Side,1419836,17270170.38,1439878.26,0.0834
Union Port,146,2380.58,83.4,0.035
Central Park,149017,1750754.76,138557.28,0.0791
Woodside,9448,144735.21,8332.13,0.0576
Greenwich Village,573647,6961166.21,643920.0,0.0925
Forest Hills,5115,107447.44,7708.68,0.0717
Middle Village,235,4079.83,219.38,0.0538
Downtown,29896,506056.73,46093.17,0.0911
Morris Heights,186,2809.51,148.18,0.0527
Steinway,19,282.54,25.54,0.0904
Utopia,1042,34666.93,2940.55,0.0848
Boerum Hill,16227,248954.57,23336.97,0.0937
Fort Green,29522,467753.77,42835.19,0.0916
Brownsville,251,3931.84,285.69,0.0727
Bushwick,3616,56335.18,5042.55,0.0895
Clinton,418159,5819817.29,429671.41,0.0738
City Island,7,213.72,86.06,0.4027
Borough Park,1280,23424.14,1922.71,0.0821
Gramercy,961287,11156596.82,1069724.12,0.0959
Astoria-Long Island City,57949,895515.78,66268.88,0.074
Garment District,709964,8586474.29,676463.77,0.0788
Morningside Heights,65838,931572.96,84148.24,0.0903
Flushing,2443,73924.2,5655.09,0.0765
East Harlem,37100,489625.54,35404.73,0.0723
Mott Haven,2636,40956.85,1966.2,0.048
Washington Heights,13503,271388.14,25123.25,0.0926
Carroll Gardens,20145,369351.62,38705.02,0.1048
Flatbush,18,314.8,27.97,0.0889
Laurelton,62,2101.78,140.34,0.0668
Canarsie,288,4813.36,379.59,0.0789
Tribeca,201071,2875102.41,274704.07,0.0955
The Rockaways,42,2205.54,115.2,0.0522
High Bridge,867,16426.95,912.69,0.0556
Midtown,1976370,23624919.13,2039065.18,0.0863
Saintalbans,42,950.57,48.4,0.0509
Queensboro Hill,111,2241.42,150.79,0.0673
Tremont,144,2366.15,133.83,0.0566
Chelsea,861667,10198415.72,976008.11,0.0957
Carnegie Hill,100022,1177713.93,96546.12,0.082
Douglastown-Little Neck,160,2704.54,164.27,0.0607
Murray Hill,423719,4964115.97,452555.47,0.0912
East Brooklyn,331,7285.23,559.31,0.0768
Nkew Gardens,1316,32072.73,2182.21,0.068
Springfield Gardens,344,16154.3,1214.18,0.0752
Woodlawn-Nordwood,48,714.26,15.75,0.0221
Hamilton Heights,21309,348773.43,29107.63,0.0835
Parkchester,224,3409.13,151.49,0.0444
Bedford-Stuyvesant,5624,87955.08,7315.81,0.0832
Morris Park,104,2202.59,132.71,0.0603
Sunset Park,652,11582.2,815.72,0.0704
Country Club,33,1004.97,50.48,0.0502
Maspeth,1031,33762.94,2525.58,0.0748
Throggs Neck,48,1160.31,47.67,0.0411
North Sutton Area,121027,1407919.23,120535.55,0.0856
Soundview,125,2480.58,120.75,0.0487
Glendale,135,2523.83,155.53,0.0616
Little Italy,112336,1465447.29,139208.29,0.095
Riverdale,104,2096.71,127.33,0.0607
Fordham,107,1996.81,81.66,0.0409
Yorkville,88656,1130300.76,88758.98,0.0785
Kings Bridge,146,2589.04,146.51,0.0566
Spuyten Duyvil,56,1101.98,140.55,0.1275
Battery Park,100124,1647820.87,162878.15,0.0988
