pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,238867,3952793.04,389929.32,0.0986
Williamsburg,53754,832648.35,80857.78,0.0971
South Bronx,850,12166.3,675.3,0.0555
Ridgewood,297,4284.31,250.21,0.0584
Clearview,32,644.26,51.96,0.0807
Williams Bridge,78,981.37,46.27,0.0471
Cobble Hill,8580,157104.17,16409.21,0.1044
Inwood,750,13602.86,1019.03,0.0749
Queens Village,85,1285.13,97.2,0.0756
Auburndale,88,1903.11,164.76,0.0866
Gramercy,1083084,12285199.22,1195794.92,0.0973
Bensonhurst,237,4039.73,243.53,0.0603
University Heights,203,3079.48,167.98,0.0545
Greenwood,1451,25702.29,2650.63,0.1031
Wakefield-Williamsbridge,102,1761.83,134.53,0.0764
Park Slope,14241,213595.55,19227.82,0.09
Chinatown,48223,662985.77,53172.86,0.0802
Corona,584,22471.36,2474.88,0.1101
West Village,354255,4339007.26,427148.98,0.0984
Sunny Side,41115,684770.52,53115.03,0.0776
Soho,316489,3979813.5,389662.2,0.0979
Dyker Heights,100,1855.3,137.14,0.0739
Upper West Side,1107064,12828514.9,1112202.27,0.0867
Harlem,56954,763930.26,61971.24,0.0811
Bay Ridge,501,8716.08,641.08,0.0736
Woodhaven-Richmond Hill,362,6841.88,486.33,0.0711
Jamaica,2512,130767.34,11208.77,0.0857
Bedford Park,192,3312.3,165.79,0.0501
East Village,478396,5939201.77,580188.52,0.0977
Hunts Point,128,1867.18,138.78,0.0743
Gravesend-Sheepshead Bay,714,11660.09,1067.29,0.0915
Lower East Side,297022,3998618.53,379645.12,0.0949
Mapleton-Flatlands,1517,22090.96,1733.89,0.0785
Baychester,9,254.8,10.0,0.0392
Upper East Side,1798694,20286080.66,1719452.77,0.0848
Union Port,133,1981.49,101.94,0.0514
Central Park,165342,1872341.39,155572.19,0.0831
Woodside,10920,165009.52,10528.01,0.0638
Greenwich Village,641944,7536676.04,719422.64,0.0955
Forest Hills,5176,99802.35,6936.42,0.0695
Middle Village,216,3745.41,290.71,0.0776
Downtown,28613,469651.48,42871.8,0.0913
Morris Heights,996,13311.47,1088.27,0.0818
Steinway,29,427.0,38.7,0.0906
Utopia,866,26886.55,2354.52,0.0876
Boerum Hill,17952,271227.32,25021.0,0.0923
Fort Green,27857,428560.3,37571.58,0.0877
Brownsville,188,3531.87,296.27,0.0839
Bushwick,2325,35167.27,2865.47,0.0815
Clinton,419439,4965210.49,436298.69,0.0879
City Island,1,21.5,0.0,0.0
Borough Park,1545,27039.77,2343.23,0.0867
Jackson Heights,7543,142630.62,9347.85,0.0655
Astoria-Long Island City,59911,894558.18,65495.92,0.0732
Garment District,710359,8175721.13,672783.8,0.0823
Morningside Heights,104547,1453777.91,134341.42,0.0924
Flushing,1242,32436.3,2612.97,0.0806
East Harlem,41475,523831.34,35690.26,0.0681
Mott Haven,2745,37883.57,1936.33,0.0511
Washington Heights,15623,300028.49,27081.25,0.0903
Carroll Gardens,22792,405710.62,42016.86,0.1036
Flatbush,17,313.98,25.88,0.0824
Laurelton,94,2487.87,157.07,0.0631
Canarsie,246,4667.14,425.51,0.0912
Tribeca,237975,3230709.83,325955.93,0.1009
The Rockaways,19,228.8,2.5,0.0109
High Bridge,802,11883.24,620.49,0.0522
Midtown,2160220,24930603.87,2265688.83,0.0909
Saintalbans,41,844.1,40.3,0.0477
Queensboro Hill,173,3120.75,238.84,0.0765
Tremont,281,4436.39,341.19,0.0769
Chelsea,925106,10718609.1,1048628.74,0.0978
Carnegie Hill,158221,1779961.33,142489.34,0.0801
Douglastown-Little Neck,227,3886.29,263.3,0.0678
Murray Hill,447213,5079431.76,477412.34,0.094
East Brooklyn,274,5610.08,503.83,0.0898
Nkew Gardens,1291,30575.16,2409.4,0.0788
Springfield Gardens,386,18003.14,1499.68,0.0833
Woodlawn-Nordwood,47,948.96,61.86,0.0652
Hamilton Heights,23968,368860.17,30200.15,0.0819
Parkchester,925,12700.76,1003.81,0.079
Bedford-Stuyvesant,4469,66884.48,5088.58,0.0761
Morris Park,110,2229.14,209.14,0.0938
Sunset Park,505,8829.81,668.43,0.0757
Country Club,72,1383.88,59.68,0.0431
Maspeth,1086,35362.22,3225.7,0.0912
Throggs Neck,65,1151.92,89.22,0.0775
North Sutton Area,144187,1621311.45,135835.54,0.0838
Soundview,184,2909.59,189.99,0.0653
Glendale,148,2581.24,208.54,0.0808
Little Italy,123890,1541614.54,153282.16,0.0994
Riverdale,150,2599.25,184.11,0.0708
Fordham,200,2879.18,188.88,0.0656
Yorkville,109567,1351108.3,104351.25,0.0772
Kings Bridge,183,2767.96,130.86,0.0473
Spuyten Duyvil,66,1418.66,112.16,0.0791
Battery Park,105409,1712980.49,180878.81,0.1056
