pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,293684,5047406.99,486363.25,0.0964
Williamsburg,74760,1219798.82,123359.06,0.1011
West Village,380148,4871995.72,476233.42,0.0977
Ridgewood,588,9795.52,780.5,0.0797
Jackson Heights,8820,171711.51,12061.62,0.0702
Williams Bridge,61,1143.34,106.52,0.0932
Cobble Hill,9355,182793.59,20302.88,0.1111
Inwood,929,17720.46,1470.74,0.083
Queens Village,90,2015.47,121.34,0.0602
Auburndale,95,1453.49,89.83,0.0618
Gramercy,1126768,13331157.71,1318289.25,0.0989
Chelsea,985064,12024184.78,1187421.88,0.0988
University Heights,144,2489.63,141.65,0.0569
Greenwood,1859,34594.15,3768.02,0.1089
Wakefield-Williamsbridge,57,1109.86,24.2,0.0218
Park Slope,18213,297347.63,29697.32,0.0999
Chinatown,47560,672855.57,53455.14,0.0794
Corona,499,20271.62,2279.86,0.1125
South Bronx,639,8999.03,501.07,0.0557
Sunny Side,45455,804532.94,66721.22,0.0829
Soho,324277,4256129.82,412866.71,0.097
Clearview,23,507.38,27.73,0.0547
Dyker Heights,106,2410.27,181.46,0.0753
Upper West Side,1174143,14103452.8,1264463.83,0.0897
Harlem,59010,823208.36,71595.96,0.087
Bay Ridge,602,11997.22,1073.92,0.0895
Woodhaven-Richmond Hill,461,10381.51,678.14,0.0653
Jamaica,3300,172994.52,14549.21,0.0841
Bedford Park,239,5036.37,435.93,0.0866
East Village,497658,6424117.19,636686.8,0.0991
Hunts Point,78,1185.69,66.36,0.056
Gravesend-Sheepshead Bay,396,6874.68,559.22,0.0813
Lower East Side,318378,4520936.21,434867.81,0.0962
Mapleton-Flatlands,1149,18703.19,1388.89,0.0743
Baychester,14,210.0,14.5,0.069
Upper East Side,1919926,22745911.11,1988172.5,0.0874
Union Port,151,2553.82,163.83,0.0642
Central Park,196731,2353190.28,201222.85,0.0855
Woodside,9438,150933.04,9398.01,0.0623
Greenwich Village,673979,8324441.61,799243.97,0.096
Forest Hills,4313,93620.85,7659.93,0.0818
Middle Village,215,4327.07,179.97,0.0416
Downtown,33442,574133.05,54165.97,0.0943
Morris Heights,261,4587.71,315.89,0.0689
Steinway,7,155.0,19.0,0.1226
Utopia,1134,34932.51,2775.63,0.0795
Boerum Hill,19697,314084.49,30356.44,0.0967
Fort Green,37311,610380.52,59487.31,0.0975
Brownsville,204,3611.69,280.5,0.0777
Bushwick,4393,70004.27,6895.78,0.0985
Clinton,458473,5719436.58,502317.61,0.0878
City Island,3,171.39,28.56,0.1666
Borough Park,1421,29017.04,2619.92,0.0903
Parkchester,232,4097.76,277.37,0.0677
Astoria-Long Island City,57647,905326.74,69187.7,0.0764
Garment District,730672,8910284.93,745714.74,0.0837
Morningside Heights,100182,1451324.42,140091.17,0.0965
Flushing,1260,36591.27,3019.78,0.0825
East Harlem,39683,523580.51,39794.86,0.076
Mott Haven,2511,39270.88,2143.54,0.0546
Washington Heights,16452,327488.19,31587.09,0.0965
Carroll Gardens,25934,488304.57,53102.42,0.1087
Flatbush,20,307.7,40.2,0.1306
Laurelton,90,1689.07,86.94,0.0515
Canarsie,152,3440.24,382.41,0.1112
Tribeca,255936,3636763.84,372118.41,0.1023
The Rockaways,52,1543.41,218.09,0.1413
High Bridge,692,10922.75,613.8,0.0562
Midtown,2279137,28193712.49,2572254.0,0.0912
Saintalbans,49,978.4,67.57,0.0691
Queensboro Hill,125,2183.16,135.85,0.0622
Tremont,182,2930.79,206.9,0.0706
Bensonhurst,181,3571.65,298.24,0.0835
Carnegie Hill,174734,2089764.8,178647.6,0.0855
Douglastown-Little Neck,188,4049.17,257.49,0.0636
Murray Hill,465517,5520827.11,520192.84,0.0942
East Brooklyn,269,5844.7,424.06,0.0726
Nkew Gardens,1682,39656.13,3499.2,0.0882
Springfield Gardens,313,13475.94,1037.76,0.077
Woodlawn-Nordwood,68,1083.39,119.06,0.1099
Hamilton Heights,24378,388571.75,34741.64,0.0894
Bedford-Stuyvesant,6683,105665.52,9397.59,0.0889
Morris Park,101,2071.93,135.29,0.0653
Sunset Park,771,14964.99,1104.76,0.0738
Country Club,27,641.55,62.22,0.097
Maspeth,1075,36496.2,3129.12,0.0857
Throggs Neck,59,1122.82,102.34,0.0911
North Sutton Area,154102,1809312.79,156573.02,0.0865
Soundview,166,2852.02,178.69,0.0627
Glendale,117,2600.29,174.82,0.0672
Little Italy,132154,1721872.31,166692.54,0.0968
Riverdale,157,3389.86,315.54,0.0931
Fordham,164,3133.55,189.25,0.0604
Yorkville,108714,1403170.94,114266.4,0.0814
Kings Bridge,192,3278.59,244.69,0.0746
Spuyten Duyvil,63,1323.55,121.48,0.0918
Battery Park,118830,1968196.05,203878.77,0.1036
