pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,303658,5137876.93,460658.0,0.0897
Williamsburg,60560,976247.43,95546.38,0.0979
West Village,352796,4467033.62,430044.29,0.0963
Ridgewood,423,6523.12,476.18,0.073
Clearview,25,472.27,28.77,0.0609
Williams Bridge,57,1029.37,27.88,0.0271
Cobble Hill,8168,151562.64,16366.92,0.108
Inwood,898,18495.74,1392.08,0.0753
Queens Village,92,1580.01,117.37,0.0743
Auburndale,65,1454.68,132.2,0.0909
Jackson Heights,8702,172213.97,11251.3,0.0653
Chelsea,929042,11037072.09,1056078.14,0.0957
University Heights,122,2423.48,113.4,0.0468
Greenwood,1768,31645.0,3094.21,0.0978
Wakefield-Williamsbridge,62,929.3,43.8,0.0471
Park Slope,14313,226875.28,21546.91,0.095
Chinatown,47753,671964.38,49127.43,0.0731
Corona,509,20624.02,2301.85,0.1116
South Bronx,608,8847.87,539.92,0.061
Sunny Side,40957,708250.87,54806.03,0.0774
Soho,306456,3976614.71,375294.84,0.0944
Dyker Heights,85,2269.88,130.75,0.0576
Upper West Side,975393,11537211.56,1006877.0,0.0873
Harlem,54571,759783.38,63081.83,0.083
Bay Ridge,561,10939.51,953.52,0.0872
Woodhaven-Richmond Hill,411,8862.64,437.01,0.0493
Jamaica,2894,149977.55,12438.98,0.0829
Bedford Park,135,2379.62,148.7,0.0625
East Village,463630,5869154.99,569003.21,0.0969
Hunts Point,86,1449.02,90.93,0.0628
Gravesend-Sheepshead Bay,476,8654.47,618.69,0.0715
Lower East Side,290914,4048549.81,377473.8,0.0932
Mapleton-Flatlands,1103,16919.6,1218.44,0.072
Baychester,16,273.43,5.1,0.0187
Upper East Side,1627505,18963006.8,1614456.6,0.0851
Union Port,190,2635.18,139.7,0.053
Central Park,173410,2023416.64,160045.34,0.0791
Country Club,46,1104.43,36.45,0.033
Greenwich Village,620922,7537210.45,702562.51,0.0932
Forest Hills,4798,98797.04,7182.27,0.0727
Middle Village,256,4353.07,309.3,0.0711
Downtown,31901,538630.16,48770.02,0.0905
Morris Heights,206,2864.35,146.25,0.0511
Steinway,36,417.8,33.8,0.0809
Utopia,1036,34653.27,2907.98,0.0839
Boerum Hill,17350,265058.29,24481.79,0.0924
Fort Green,29467,466756.98,43439.51,0.0931
Brownsville,141,2783.08,148.0,0.0532
Bushwick,3251,51486.8,4718.94,0.0917
Clinton,459504,5592966.57,465924.85,0.0833
City Island,11,275.66,0.0,0.0
Borough Park,1589,28818.84,2493.31,0.0865
Gramercy,1057870,12248612.22,1165482.01,0.0952
Astoria-Long Island City,60704,926330.84,67220.06,0.0726
Garment District,756953,9069264.36,719357.02,0.0793
Morningside Heights,75797,1083282.24,96350.75,0.0889
Flushing,1544,45982.5,3818.21,0.083
East Harlem,38604,504554.85,35786.46,0.0709
Mott Haven,2588,38001.03,1951.13,0.0513
Washington Heights,14775,297349.71,27272.9,0.0917
Carroll Gardens,21995,401366.16,42469.72,0.1058
Flatbush,27,441.49,53.83,0.1219
Laurelton,78,2260.09,144.15,0.0638
Canarsie,202,4046.47,193.0,0.0477
Tribeca,223666,3148839.05,312471.41,0.0992
The Rockaways,45,1313.74,117.58,0.0895
High Bridge,1078,20630.97,1301.53,0.0631
Midtown,2196283,26064751.71,2268335.49,0.087
Saintalbans,85,1348.01,105.77,0.0785
Queensboro Hill,127,2027.44,92.97,0.0459
Tremont,205,3056.96,198.37,0.0649
Bensonhurst,202,3518.45,299.98,0.0853
Carnegie Hill,119292,1412617.63,115203.33,0.0816
Douglastown-Little Neck,222,4466.54,209.15,0.0468
Murray Hill,459953,5357172.91,483907.72,0.0903
East Brooklyn,248,6058.46,413.54,0.0683
Nkew Gardens,1392,33094.46,2206.86,0.0667
Springfield Gardens,444,21707.59,1915.14,0.0882
Woodlawn-Nordwood,53,790.81,27.65,0.035
Hamilton Heights,22493,365562.64,30861.74,0.0844
Parkchester,328,4598.15,297.35,0.0647
Bedford-Stuyvesant,5629,86593.16,7230.61,0.0835
Morris Park,189,3581.45,278.37,0.0777
Sunset Park,654,11440.13,858.17,0.075
Woodside,10485,160416.29,8957.85,0.0558
Maspeth,1098,35898.97,2887.84,0.0804
Throggs Neck,92,1339.01,104.51,0.0781
North Sutton Area,137975,1583003.76,133828.91,0.0845
Soundview,228,3377.3,256.82,0.076
Glendale,139,2924.02,220.73,0.0755
Little Italy,122421,1591178.85,150069.47,0.0943
Riverdale,104,2174.05,107.59,0.0495
Fordham,119,2142.48,187.66,0.0876
Yorkville,96276,1214863.3,94500.3,0.0778
Kings Bridge,165,2933.98,143.43,0.0489
Spuyten Duyvil,67,1495.38,108.28,0.0724
Battery Park,112884,1857129.41,183966.65,0.0991
