pickup neighborhoods,trips number,revenue,tip amount,tip percentage
Financial District,279909,4747436.41,450248.18,0.0948
Williamsburg,63785,1025503.49,99705.73,0.0972
West Village,376868,4768045.25,457457.89,0.0959
Ridgewood,377,5653.68,405.53,0.0717
Jackson Heights,8375,164321.72,11050.29,0.0672
Williams Bridge,60,1057.04,47.55,0.045
Cobble Hill,9224,172869.85,18388.65,0.1064
Inwood,830,17336.21,1497.86,0.0864
Harlem,60555,834851.75,67444.89,0.0808
Auburndale,65,1712.57,76.08,0.0444
Gramercy,1160153,13459893.31,1286160.13,0.0956
Bensonhurst,215,3516.8,283.68,0.0807
University Heights,148,2360.74,100.97,0.0428
Greenwood,1729,31024.11,2973.21,0.0958
Wakefield-Williamsbridge,79,1649.22,103.41,0.0627
Park Slope,15460,236799.56,21139.89,0.0893
Chinatown,47412,672197.15,51214.91,0.0762
Corona,519,21166.54,2227.67,0.1052
South Bronx,792,11335.99,595.37,0.0525
Sunny Side,40580,706215.33,52804.37,0.0748
Soho,331987,4313486.42,413516.76,0.0959
Clearview,19,379.27,26.11,0.0688
Dyker Heights,112,2806.61,286.84,0.1022
Upper West Side,1165153,13811038.81,1192204.88,0.0863
Queens Village,95,2220.62,138.99,0.0626
Bay Ridge,599,10372.96,763.26,0.0736
Woodhaven-Richmond Hill,417,7830.71,476.98,0.0609
Jamaica,2988,161992.96,13957.95,0.0862
Bedford Park,173,3480.3,337.67,0.097
East Village,491124,6247092.23,600499.71,0.0961
Hunts Point,159,2487.68,183.36,0.0737
Gravesend-Sheepshead Bay,441,7404.3,542.04,0.0732
Lower East Side,316485,4396206.81,409681.35,0.0932
Mapleton-Flatlands,1194,19416.4,1401.6,0.0722
Baychester,18,394.08,11.25,0.0285
Upper East Side,1937924,22456836.57,1886525.31,0.084
Union Port,152,2643.61,119.3,0.0451
Central Park,194677,2267466.38,184462.0,0.0814
Woodside,10317,161900.96,9326.73,0.0576
Greenwich Village,677389,8246071.1,771884.04,0.0936
Forest Hills,5278,106013.25,6948.89,0.0655
Middle Village,182,3628.68,231.75,0.0639
Downtown,33138,565355.66,50870.37,0.09
Morris Heights,284,4090.1,258.56,0.0632
Steinway,25,299.84,26.84,0.0895
Utopia,1045,32661.58,2642.8,0.0809
Boerum Hill,18168,287903.14,26659.95,0.0926
Fort Green,32094,513020.09,45019.01,0.0878
Brownsville,185,2748.96,155.3,0.0565
Bushwick,2774,42106.01,3581.27,0.0851
Clinton,451622,5541234.78,468265.3,0.0845
City Island,10,302.83,6.5,0.0215
Borough Park,1496,27026.85,2240.39,0.0829
Parkchester,581,9000.37,712.1,0.0791
Astoria-Long Island City,59409,913914.82,66315.35,0.0726
Garment District,746665,8913225.98,717372.76,0.0805
Morningside Heights,116309,1654152.02,154155.5,0.0932
Flushing,1431,38173.94,2766.49,0.0725
East Harlem,43554,570574.98,39876.71,0.0699
Mott Haven,2939,42812.73,2401.36,0.0561
Carroll Gardens,23409,433242.14,45496.17,0.105
Flatbush,23,392.01,39.85,0.1017
Laurelton,72,1646.98,138.68,0.0842
Canarsie,406,6965.58,671.15,0.0964
Tribeca,259606,3644634.06,358634.25,0.0984
The Rockaways,32,626.17,46.51,0.0743
High Bridge,1186,20356.28,1322.27,0.065
Midtown,2307200,27457914.76,2439044.45,0.0888
Saintalbans,46,939.46,43.31,0.0461
Queensboro Hill,133,2323.65,152.01,0.0654
Tremont,268,3946.56,215.41,0.0546
Washington Heights,18610,366813.99,33550.66,0.0915
Carnegie Hill,174006,2013358.25,161496.99,0.0802
Douglastown-Little Neck,213,3655.17,284.43,0.0778
Murray Hill,488902,5674419.38,518918.31,0.0914
East Brooklyn,304,7159.71,596.45,0.0833
Nkew Gardens,1671,39532.37,2998.68,0.0759
Springfield Gardens,411,21025.79,1767.72,0.0841
Woodlawn-Nordwood,76,1267.0,91.47,0.0722
Hamilton Heights,26183,415831.91,34795.74,0.0837
Bedford-Stuyvesant,5420,82662.33,6676.4,0.0808
Morris Park,131,2485.99,132.85,0.0534
Sunset Park,613,10851.32,699.76,0.0645
Chelsea,993858,11885026.8,1145491.3,0.0964
Country Club,95,2321.8,187.98,0.081
Maspeth,1117,38129.57,3133.27,0.0822
Throggs Neck,68,1476.82,118.18,0.08
North Sutton Area,154609,1793841.7,149340.46,0.0833
Soundview,201,2969.24,172.93,0.0582
Glendale,133,2548.04,150.41,0.059
Little Italy,130466,1687165.5,161030.1,0.0954
Riverdale,118,2817.31,177.77,0.0631
Fordham,151,2505.6,163.77,0.0654
Yorkville,114812,1449802.81,112145.43,0.0774
Kings Bridge,177,3208.71,224.67,0.07
Spuyten Duyvil,41,976.48,97.63,0.1
Battery Park,118892,1979248.65,202462.86,0.1023
