Astoria-Long Island City,Astoria-Long Island City	19091,148735.63,8107.39
Astoria-Long Island City,Auburndale	32,1108.40,54.40
Astoria-Long Island City,Battery Park	121,4163.76,422.95
Astoria-Long Island City,Bay Ridge	49,2399.42,245.42
Astoria-Long Island City,Baychester	4,169.33,0.00
Astoria-Long Island City,Bedford Park	27,1072.99,80.72
Astoria-Long Island City,Bedford-Stuyvesant	185,5260.65,413.82
Astoria-Long Island City,Bensonhurst	9,461.00,4.00
Astoria-Long Island City,Boerum Hill	56,1983.11,233.11
Astoria-Long Island City,Borough Park	40,1815.69,152.03
Astoria-Long Island City,Brownsville	13,550.30,28.30
Astoria-Long Island City,Bushwick	230,6288.27,486.94
Astoria-Long Island City,Canarsie	15,792.00,23.00
Astoria-Long Island City,Carnegie Hill	111,2184.63,153.48
Astoria-Long Island City,Carroll Gardens	70,2557.82,307.82
Astoria-Long Island City,Central Park	324,6492.43,580.83
Astoria-Long Island City,Chelsea	1211,29946.49,2827.19
Astoria-Long Island City,Chinatown	53,1494.59,95.26
Astoria-Long Island City,City Island	4,194.85,11.35
Astoria-Long Island City,Clearview	22,793.03,42.70
Astoria-Long Island City,Clinton	817,18363.23,1552.95
Astoria-Long Island City,Cobble Hill	21,746.23,80.90
Astoria-Long Island City,Corona	5,76.00,3.50
Astoria-Long Island City,Country Club	1,42.39,0.06
Astoria-Long Island City,Douglastown-Little Neck	35,1635.08,120.75
Astoria-Long Island City,Downtown	100,3023.52,308.52
Astoria-Long Island City,Dyker Heights	4,215.20,21.20
Astoria-Long Island City,East Brooklyn	27,1055.95,70.12
Astoria-Long Island City,East Harlem	292,6304.53,386.72
Astoria-Long Island City,East Village	930,20851.51,1728.42
Astoria-Long Island City,Financial District	611,19298.57,1807.33
Astoria-Long Island City,Flushing	322,7623.45,493.62
Astoria-Long Island City,Fordham	35,1345.52,96.76
Astoria-Long Island City,Forest Hills	438,10851.21,876.55
Astoria-Long Island City,Fort Green	297,8874.58,929.58
Astoria-Long Island City,Garment District	1151,25542.92,2229.95
Astoria-Long Island City,Glendale	45,1334.32,36.32
Astoria-Long Island City,Gramercy	2112,42522.13,3708.30
Astoria-Long Island City,Gravesend-Sheepshead Bay	18,1058.87,81.87
Astoria-Long Island City,Greenwich Village	660,15753.19,1380.43
Astoria-Long Island City,Greenwood	33,1361.64,166.64
Astoria-Long Island City,Hamilton Heights	185,5482.23,373.06
Astoria-Long Island City,Harlem	489,12468.77,919.99
Astoria-Long Island City,High Bridge	90,2573.84,161.90
Astoria-Long Island City,Hunts Point	22,597.12,4.50
Astoria-Long Island City,Inwood	37,1354.91,81.97
Astoria-Long Island City,Jackson Heights	2450,31471.22,1274.72
Astoria-Long Island City,Jamaica	126,4339.02,234.52
Astoria-Long Island City,Kings Bridge	28,1020.21,27.60
Astoria-Long Island City,Laurelton	5,259.70,9.20
Astoria-Long Island City,Little Italy	99,2634.69,235.69
Astoria-Long Island City,Lower East Side	618,16157.55,1408.91
Astoria-Long Island City,Mapleton-Flatlands	27,1289.70,105.70
Astoria-Long Island City,Maspeth	256,3997.65,160.65
Astoria-Long Island City,Middle Village	114,2628.18,120.68
Astoria-Long Island City,Midtown	5267,93030.71,7898.61
Astoria-Long Island City,Morningside Heights	179,5550.51,657.98
Astoria-Long Island City,Morris Heights	19,611.30,11.00
Astoria-Long Island City,Morris Park	34,1167.15,41.75
Astoria-Long Island City,Mott Haven	160,3823.09,76.23
Astoria-Long Island City,Murray Hill	930,17230.80,1458.66
Astoria-Long Island City,Nkew Gardens	196,5694.51,418.18
Astoria-Long Island City,North Sutton Area	731,10031.60,703.28
Astoria-Long Island City,Park Slope	171,6401.67,659.51
Astoria-Long Island City,Parkchester	14,507.20,21.07
Astoria-Long Island City,Queens Village	6,247.68,7.68
Astoria-Long Island City,Queensboro Hill	95,2462.10,142.10
Astoria-Long Island City,Ridgewood	224,5118.22,217.22
Astoria-Long Island City,Riverdale	11,445.18,17.88
Astoria-Long Island City,Saintalbans	18,768.30,34.30
Astoria-Long Island City,Soho	335,9156.05,994.94
Astoria-Long Island City,Soundview	36,1066.71,36.98
Astoria-Long Island City,South Bronx	83,2449.22,156.88
Astoria-Long Island City,Springfield Gardens	11,502.83,24.00
Astoria-Long Island City,Spuyten Duyvil	1,37.50,0.00
Astoria-Long Island City,Steinway	2,28.00,0.00
Astoria-Long Island City,Sunny Side	4316,42502.69,2703.37
Astoria-Long Island City,Sunset Park	31,1268.63,114.13
Astoria-Long Island City,The Rockaways	8,529.50,5.00
Astoria-Long Island City,Throggs Neck	8,313.48,19.01
Astoria-Long Island City,Tremont	45,1659.08,98.35
Astoria-Long Island City,Tribeca	229,7122.19,662.22
Astoria-Long Island City,Union Port	18,653.86,45.40
Astoria-Long Island City,University Heights	15,500.48,21.50
Astoria-Long Island City,Upper East Side	5582,84967.16,6375.99
Astoria-Long Island City,Upper West Side	1456,33028.14,3063.66
Astoria-Long Island City,Utopia	99,3116.30,153.47
Astoria-Long Island City,Wakefield-Williamsbridge	15,608.30,6.00
Astoria-Long Island City,Washington Heights	375,12285.95,815.17
Astoria-Long Island City,West Village	369,9488.35,886.37
Astoria-Long Island City,Williams Bridge	18,704.67,40.72
Astoria-Long Island City,Williamsburg	691,15610.09,1465.93
Astoria-Long Island City,Woodhaven-Richmond Hill	77,2587.22,143.72
Astoria-Long Island City,Woodlawn-Nordwood	6,265.52,16.70
Astoria-Long Island City,Woodside	1585,17384.93,848.93
Astoria-Long Island City,Yorkville	649,13121.95,867.16
Auburndale,Astoria-Long Island City	1,30.00,0.00
Auburndale,Auburndale	13,105.00,0.00
Auburndale,Clearview	1,11.75,2.25
Auburndale,Douglastown-Little Neck	1,16.00,0.00
Auburndale,Downtown	1,51.75,10.25
Auburndale,Financial District	1,54.33,0.00
Auburndale,Flushing	9,94.00,2.00
Auburndale,Forest Hills	1,15.00,2.50
Auburndale,Fort Green	1,29.40,4.90
Auburndale,Garment District	1,94.83,0.00
Auburndale,Jackson Heights	3,55.50,0.00
Auburndale,Jamaica	3,69.00,20.00
Auburndale,Little Italy	1,43.50,0.00
Auburndale,Midtown	2,152.16,0.00
Auburndale,Queensboro Hill	7,67.00,0.00
Auburndale,Utopia	5,48.10,1.60
Battery Park,Astoria-Long Island City	198,7344.24,798.44
Battery Park,Auburndale	2,101.50,6.00
Battery Park,Battery Park	3459,33183.43,3291.59
Battery Park,Bay Ridge	109,3674.62,365.23
Battery Park,Baychester	2,106.00,5.00
Battery Park,Bedford Park	6,342.55,34.73
Battery Park,Bedford-Stuyvesant	112,3022.52,337.20
Battery Park,Bensonhurst	33,1258.98,134.56
Battery Park,Boerum Hill	147,2901.87,299.91
Battery Park,Borough Park	74,2150.07,187.92
Battery Park,Brownsville	9,335.97,18.48
Battery Park,Bushwick	49,1576.47,173.14
Battery Park,Canarsie	10,499.67,35.35
Battery Park,Carnegie Hill	320,9968.51,1010.51
Battery Park,Carroll Gardens	219,4791.98,548.11
Battery Park,Central Park	518,12979.22,1125.22
Battery Park,Chelsea	10416,151603.91,15997.83
Battery Park,Chinatown	889,10813.82,737.82
Battery Park,City Island	1,74.25,14.75
Battery Park,Clearview	1,57.00,0.00
Battery Park,Clinton	4174,73826.58,6832.08
Battery Park,Cobble Hill	119,2432.06,247.53
Battery Park,Country Club	1,55.50,0.50
Battery Park,Douglastown-Little Neck	11,781.14,86.65
Battery Park,Downtown	470,8326.24,954.65
Battery Park,Dyker Heights	30,994.69,102.45
Battery Park,East Brooklyn	6,221.33,0.00
Battery Park,East Harlem	62,2110.76,198.26
Battery Park,East Village	2660,47299.40,4834.07
Battery Park,Financial District	9768,83624.48,7814.49
Battery Park,Flatbush	2,44.89,3.89
Battery Park,Flushing	74,4088.57,392.36
Battery Park,Fordham	5,244.25,21.25
Battery Park,Forest Hills	40,1886.57,204.29
Battery Park,Fort Green	434,9833.83,1213.20
Battery Park,Garment District	5866,105978.13,10204.30
Battery Park,Glendale	6,286.89,15.40
Battery Park,Gramercy	6714,132567.37,14316.21
Battery Park,Gravesend-Sheepshead Bay	47,2015.49,172.11
Battery Park,Greenwich Village	5902,76887.42,7725.42
Battery Park,Greenwood	44,1179.02,155.94
Battery Park,Hamilton Heights	65,2181.89,218.39
Battery Park,Harlem	184,6495.18,696.18
Battery Park,High Bridge	19,770.23,51.23
Battery Park,Hunts Point	1,39.83,0.00
Battery Park,Inwood	15,695.25,73.25
Battery Park,Jackson Heights	71,3076.65,331.39
Battery Park,Jamaica	29,1710.25,153.13
Battery Park,Kings Bridge	4,201.88,16.00
Battery Park,Laurelton	2,161.23,14.57
Battery Park,Little Italy	980,13397.73,1273.73
Battery Park,Lower East Side	3042,46368.05,4368.72
Battery Park,Mapleton-Flatlands	48,1686.48,143.59
Battery Park,Maspeth	7,245.50,14.67
Battery Park,Middle Village	19,767.61,87.62
Battery Park,Midtown	16321,374994.52,38321.26
Battery Park,Morningside Heights	194,5997.40,665.90
Battery Park,Morris Heights	3,139.10,16.60
Battery Park,Morris Park	2,96.50,0.00
Battery Park,Mott Haven	14,549.58,60.58
Battery Park,Murray Hill	3408,77494.09,8394.03
Battery Park,Nkew Gardens	13,650.02,64.87
Battery Park,North Sutton Area	438,10803.42,1148.92
Battery Park,Park Slope	485,12384.54,1574.93
Battery Park,Parkchester	14,711.00,51.00
Battery Park,Queens Village	1,79.70,13.20
Battery Park,Queensboro Hill	2,128.66,7.00
Battery Park,Ridgewood	16,547.13,36.30
Battery Park,Riverdale	4,202.70,18.94
Battery Park,Saintalbans	2,115.50,0.00
Battery Park,Soho	6909,72458.31,7254.48
Battery Park,Soundview	6,284.80,22.80
Battery Park,South Bronx	5,163.50,0.00
Battery Park,Springfield Gardens	3,226.68,39.85
Battery Park,Spuyten Duyvil	9,442.20,39.18
Battery Park,Sunny Side	169,5562.08,618.61
Battery Park,Sunset Park	57,1635.13,159.10
Battery Park,The Rockaways	2,149.17,10.01
Battery Park,Throggs Neck	2,101.00,5.50
Battery Park,Tremont	5,225.62,19.62
