Astoria-Long Island City,Astoria-Long Island City	19886,157566.66,9363.94
Astoria-Long Island City,Auburndale	25,834.03,34.02
Astoria-Long Island City,Battery Park	83,2810.56,319.06
Astoria-Long Island City,Bay Ridge	56,2856.07,314.74
Astoria-Long Island City,Baychester	1,52.10,8.60
Astoria-Long Island City,Bedford Park	19,844.51,65.70
Astoria-Long Island City,Bedford-Stuyvesant	267,7881.08,672.02
Astoria-Long Island City,Bensonhurst	9,496.22,46.22
Astoria-Long Island City,Boerum Hill	40,1350.93,123.92
Astoria-Long Island City,Borough Park	25,1170.83,108.67
Astoria-Long Island City,Brownsville	15,605.88,27.87
Astoria-Long Island City,Bushwick	220,6024.48,494.45
Astoria-Long Island City,Canarsie	12,706.90,23.40
Astoria-Long Island City,Carnegie Hill	127,2738.18,254.68
Astoria-Long Island City,Carroll Gardens	63,2399.90,289.55
Astoria-Long Island City,Central Park	289,5869.97,470.35
Astoria-Long Island City,Chelsea	1069,26357.82,2568.72
Astoria-Long Island City,Chinatown	46,1210.02,82.52
Astoria-Long Island City,City Island	1,48.83,0.00
Astoria-Long Island City,Clearview	21,742.69,41.69
Astoria-Long Island City,Clinton	623,13775.46,1123.61
Astoria-Long Island City,Cobble Hill	15,482.12,51.12
Astoria-Long Island City,Corona	3,53.50,0.00
Astoria-Long Island City,Country Club	3,134.66,0.00
Astoria-Long Island City,Douglastown-Little Neck	19,946.85,144.02
Astoria-Long Island City,Downtown	79,2508.38,247.35
Astoria-Long Island City,Dyker Heights	8,388.14,27.81
Astoria-Long Island City,East Brooklyn	28,1120.52,89.02
Astoria-Long Island City,East Harlem	275,5892.40,371.20
Astoria-Long Island City,East Village	836,18218.49,1645.43
Astoria-Long Island City,Financial District	535,17080.33,1607.39
Astoria-Long Island City,Flushing	212,4982.70,253.86
Astoria-Long Island City,Fordham	16,647.94,69.64
Astoria-Long Island City,Forest Hills	401,9939.37,850.86
Astoria-Long Island City,Fort Green	261,8025.49,964.43
Astoria-Long Island City,Garment District	1072,23869.13,2155.42
Astoria-Long Island City,Glendale	45,1325.13,64.61
Astoria-Long Island City,Gramercy	2015,40200.37,3526.00
Astoria-Long Island City,Gravesend-Sheepshead Bay	19,1115.55,42.05
