Astoria-Long Island City,Astoria-Long Island City	24607,197537.61,10621.98
Astoria-Long Island City,Auburndale	49,1646.40,113.40
Astoria-Long Island City,Battery Park	101,3307.51,336.68
Astoria-Long Island City,Bay Ridge	39,1796.39,115.56
Astoria-Long Island City,Baychester	1,34.33,0.00
Astoria-Long Island City,Bedford Park	26,1079.30,33.28
Astoria-Long Island City,Bedford-Stuyvesant	255,7478.33,550.33
Astoria-Long Island City,Bensonhurst	6,369.25,35.75
Astoria-Long Island City,Boerum Hill	62,2084.08,199.58
Astoria-Long Island City,Borough Park	33,1428.48,83.48
Astoria-Long Island City,Brownsville	20,851.70,27.20
Astoria-Long Island City,Bushwick	217,5962.54,435.04
Astoria-Long Island City,Canarsie	6,363.80,17.30
Astoria-Long Island City,Carnegie Hill	152,3059.65,241.91
Astoria-Long Island City,Carroll Gardens	62,2301.60,252.60
Astoria-Long Island City,Central Park	453,9179.06,827.53
Astoria-Long Island City,Chelsea	1265,29717.19,2678.91
Astoria-Long Island City,Chinatown	55,1477.40,92.10
Astoria-Long Island City,Clearview	25,861.65,41.65
Astoria-Long Island City,Clinton	882,18894.60,1519.84
Astoria-Long Island City,Cobble Hill	30,970.93,104.93
Astoria-Long Island City,Corona	3,78.05,15.05
Astoria-Long Island City,Country Club	5,244.11,17.12
Astoria-Long Island City,Douglastown-Little Neck	16,717.92,25.42
Astoria-Long Island City,Downtown	85,2569.57,233.07
Astoria-Long Island City,Dyker Heights	5,273.70,9.70
Astoria-Long Island City,East Brooklyn	46,1793.18,105.68
Astoria-Long Island City,East Harlem	351,7381.54,418.42
Astoria-Long Island City,East Village	1038,22549.23,1701.63
Astoria-Long Island City,Financial District	588,18135.77,1703.68
Astoria-Long Island City,Flushing	243,5913.30,359.97
Astoria-Long Island City,Fordham	34,1321.49,87.24
Astoria-Long Island City,Forest Hills	628,15548.19,1071.89
Astoria-Long Island City,Fort Green	278,8348.73,801.23
Astoria-Long Island City,Garment District	1420,30233.89,2564.39
Astoria-Long Island City,Glendale	48,1408.32,84.32
Astoria-Long Island City,Gramercy	2423,47890.26,4017.04
Astoria-Long Island City,Gravesend-Sheepshead Bay	29,1713.75,66.92
Astoria-Long Island City,Greenwich Village	732,17236.38,1545.56
Astoria-Long Island City,Greenwood	25,1038.17,115.67
Astoria-Long Island City,Hamilton Heights	214,6456.64,501.80
Astoria-Long Island City,Harlem	535,13228.67,860.68
Astoria-Long Island City,High Bridge	60,1694.05,52.32
Astoria-Long Island City,Hunts Point	19,549.15,24.35
Astoria-Long Island City,Inwood	39,1417.58,105.18
Astoria-Long Island City,Jackson Heights	2613,33937.47,1406.73
Astoria-Long Island City,Jamaica	165,5923.35,376.22
Astoria-Long Island City,Kings Bridge	23,914.74,80.11
Astoria-Long Island City,Laurelton	5,260.90,18.90
Astoria-Long Island City,Little Italy	102,2689.32,241.49
Astoria-Long Island City,Lower East Side	705,17974.63,1333.15
Astoria-Long Island City,Mapleton-Flatlands	32,1601.02,108.52
Astoria-Long Island City,Maspeth	255,4316.14,162.81
Astoria-Long Island City,Middle Village	112,2553.62,125.12
Astoria-Long Island City,Midtown	5844,99402.17,8370.38
Astoria-Long Island City,Morningside Heights	239,7089.82,745.27
Astoria-Long Island City,Morris Heights	14,479.02,7.40
Astoria-Long Island City,Morris Park	30,1103.70,35.80
Astoria-Long Island City,Mott Haven	176,4142.91,221.84
Astoria-Long Island City,Murray Hill	1229,21362.05,1821.03
Astoria-Long Island City,Nkew Gardens	273,8103.10,609.44
