ID, station, date, enter_00, exit00, enter_01, exit01, enter_02, exit02, enter_03, exit03, enter_04, exit04, enter_05, exit05, enter_06, exit06, enter_07, exit07, enter_08, exit08, enter_09, exit09, enter_010, exit010, enter_011, exit011, enter_012, exit012, enter_013, exit013, enter_014, exit014, enter_015, exit015, enter_016, exit016, enter_017, exit017, enter_018, exit018, enter_019, exit019, enter_020, exit020, enter_021, exit021, enter_022, exit022, enter_023, exit023,station_latitute,station_longitude
BMTBQNEWKIRKAV,NEWKIRK AV,5/1/11,194.75,403.5,0,0,0,0,0,0,0,0,19.5,87.5,19.5,87.5,19.5,87.5,19.5,87.5,207.25,72.25,207.25,72.25,207.25,72.25,207.25,72.25,399.25,123,399.25,123,399.25,123,399.25,123,342.75,295.25,342.75,295.25,342.75,295.25,342.75,295.25,194.75,403.5,194.75,403.5,194.75,403.5,40.635082,-73.962793
BMTBQPARKSIDEAV,PARKSIDE AV,5/1/11,195.5,264.5,0,0,0,0,0,0,0,0,24.25,65.75,24.25,65.75,24.25,65.75,24.25,65.75,128.25,51.5,128.25,51.5,128.25,51.5,128.25,51.5,240,90.25,240,90.25,240,90.25,240,90.25,268.25,217.5,268.25,217.5,268.25,217.5,268.25,217.5,195.5,264.5,195.5,264.5,195.5,264.5,40.655292,-73.961495
BMTBQSHEEPSHEADBAY,SHEEPSHEAD BAY,5/1/11,496.5,936.5,0,0,0,0,0,0,0,0,80,114.5,80,114.5,80,114.5,80,114.5,429,247,429,247,429,247,429,247,782.5,475.5,782.5,475.5,782.5,475.5,782.5,475.5,736.5,754.5,736.5,754.5,736.5,754.5,736.5,754.5,496.5,936.5,496.5,936.5,496.5,936.5,40.586896,-73.954155
BMTD18THAV,18TH AV,5/1/11,0,0,0,0,0,0,0,0,10,33.75,10,33.75,10,33.75,10,33.75,0,0,0,0,0,0,0,0,118.25,70.5,118.25,70.5,118.25,70.5,118.25,70.5,103,127.25,103,127.25,103,127.25,103,127.25,66,139.25,66,139.25,66,139.25,66,139.25,40.607954,-74.001736
BMTD20THAV,20TH AV,5/1/11,0,0,0,0,0,0,0,0,6.5,28,6.5,28,6.5,28,6.5,28,19,2.5,19,2.5,19,2.5,19,2.5,172,67.75,172,67.75,172,67.75,172,67.75,112.5,88.75,112.5,88.75,112.5,88.75,112.5,88.75,62.25,121.25,62.25,121.25,62.25,121.25,62.25,121.25,40.604556,-73.998168
BMTD25THAV,25TH AV,5/1/11,42.75,156,0,0,0,0,0,0,0,0,5.25,25.5,5.25,25.5,5.25,25.5,5.25,25.5,39,37.75,39,37.75,39,37.75,39,37.75,96.25,70,96.25,70,96.25,70,96.25,70,66.25,103.5,66.25,103.5,66.25,103.5,66.25,103.5,42.75,156,42.75,156,42.75,156,40.597704,-73.986829
BMTD50THST,50TH ST,5/1/11,0,0,0,0,0,0,0,0,6.25,24.5,6.25,24.5,6.25,24.5,6.25,24.5,0,0,0,0,0,0,0,0,113,77.25,113,77.25,113,77.25,113,77.25,132.5,77.5,132.5,77.5,132.5,77.5,132.5,77.5,79.75,135,79.75,135,79.75,135,79.75,135,40.63626,-73.994791
BMTD55THST,55TH ST,5/1/11,0,0,0,0,0,0,0,0,5.25,20,5.25,20,5.25,20,5.25,20,0,0,0,0,0,0,0,0,65.75,57,65.75,57,65.75,57,65.75,57,76.5,51.75,76.5,51.75,76.5,51.75,76.5,51.75,61.25,112.25,61.25,112.25,61.25,112.25,61.25,112.25,40.631435,-73.995476
BMTD71STST,71ST ST,5/1/11,0,0,0,0,0,0,0,0,3,41.75,3,41.75,3,41.75,3,41.75,7,16.75,7,16.75,7,16.75,7,16.75,44.75,38,44.75,38,44.75,38,44.75,38,30.25,110.25,30.25,110.25,30.25,110.25,30.25,110.25,32.75,180.75,32.75,180.75,32.75,180.75,32.75,180.75,40.619589,-73.998864
BMTD79THST,79TH ST,5/1/11,0,0,0,0,0,0,0,0,3.75,21.75,3.75,21.75,3.75,21.75,3.75,21.75,0,0,0,0,0,0,0,0,111.25,35,111.25,35,111.25,35,111.25,35,65.25,50,65.25,50,65.25,50,65.25,50,36,66.25,36,66.25,36,66.25,36,66.25,40.613501,-74.00061
BMTD9THAV,9TH AV,5/1/11,63.25,377,0,0,0,0,0,0,0,0,6.75,103.5,6.75,103.5,6.75,103.5,6.75,103.5,39.75,43.25,39.75,43.25,39.75,43.25,39.75,43.25,96.75,111.5,96.75,111.5,96.75,111.5,96.75,111.5,80.25,221.75,80.25,221.75,80.25,221.75,80.25,221.75,63.25,377,63.25,377,63.25,377,40.646292,-73.994324
BMTDBAY50THST,BAY 50TH ST,5/1/11,36.25,76.5,0,0,0,0,0,0,0,0,9.25,19,9.25,19,9.25,19,9.25,19,54,18.5,54,18.5,54,18.5,54,18.5,67.25,35,67.25,35,67.25,35,67.25,35,66.75,52.75,66.75,52.75,66.75,52.75,66.75,52.75,36.25,76.5,36.25,76.5,36.25,76.5,40.588841,-73.983765
BMTDBAYPARKWAY,BAY PARKWAY,5/1/11,109,578.25,0,0,0,0,0,0,0,0,7.75,66.75,7.75,66.75,7.75,66.75,7.75,66.75,56,95.5,56,95.5,56,95.5,56,95.5,154.25,187.25,154.25,187.25,154.25,187.25,154.25,187.25,146.5,377,146.5,377,146.5,377,146.5,377,109,578.25,109,578.25,109,578.25,40.601875,-73.993728
BMTDFNQSTILLWELLAV,STILLWELL AV,5/1/11,4849,4687,0,0,0,0,0,0,0,0,22,16,22,16,22,16,35,29,862,742,862,742,862,742,849,729,367,610,367,610,367,610,367,610,1013,2871,1013,2871,1013,2871,1013,2871,4849,4687,4849,4687,4849,4687,40.577422,-73.981233
BMTDFNQSTILLWELLAV,STILLWELL AV,5/1/11,4849,4687,0,0,0,0,0,0,0,0,22,16,22,16,22,16,35,29,862,742,862,742,862,742,849,729,367,610,367,610,367,610,367,610,1013,2871,1013,2871,1013,2871,1013,2871,4849,4687,4849,4687,4849,4687,40.577422,-73.981233
