EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-1-1,40,33,26,27,22,9,64,54,44,30.01,29.90,29.84,10,10,10,15,7,26,0.00,5,,283
2013-1-2,33,28,22,15,11,9,57,48,39,30.17,30.06,30.01,10,10,10,15,6,22,0.00,0,,299
2013-1-3,32,28,24,17,14,12,68,56,43,30.19,30.13,30.06,10,10,10,13,5,20,0.00,2,,272
2013-1-4,37,34,30,21,19,18,63,56,48,30.08,30.02,29.95,10,10,10,18,8,28,0.00,3,,268
2013-1-5,42,37,32,21,19,16,56,48,39,30.26,30.19,30.02,10,10,10,17,7,26,0.00,1,,285
2013-1-6,46,40,34,31,27,21,89,67,45,30.21,30.08,29.97,10,8,5,13,7,20,T,5,,257
2013-1-7,45,41,37,27,23,18,64,50,36,30.39,30.28,30.06,10,10,10,16,5,25,0.00,0,,291
2013-1-8,48,42,35,30,27,24,70,59,48,30.43,30.37,30.34,10,9,7,17,7,25,0.00,0,,251
2013-1-9,49,44,39,36,32,27,76,65,54,30.38,30.27,30.14,10,8,4,14,4,22,0.00,3,,265
2013-1-10,47,44,40,31,23,20,62,48,34,30.54,30.45,30.25,10,10,10,15,7,22,0.00,0,,304
2013-1-11,46,42,37,45,35,22,100,74,48,30.53,30.30,30.10,10,6,1,10,5,14,0.55,5,Rain,76
2013-1-12,47,45,42,44,42,41,100,93,86,30.20,30.13,30.07,8,4,1,10,4,14,0.02,8,Rain,43
2013-1-13,50,47,43,49,44,42,100,93,86,30.17,30.11,30.01,10,4,0,12,3,18,0.00,8,Fog,160
2013-1-14,56,47,38,53,45,28,100,73,46,30.31,30.09,29.93,10,5,0,14,3,21,0.09,7,Fog-Rain,316
2013-1-15,38,37,35,33,26,23,89,72,54,30.34,30.28,30.22,10,10,6,13,7,19,0.12,8,Rain,38
2013-1-16,37,35,32,33,32,28,96,83,70,30.21,29.99,29.84,9,5,2,16,5,27,0.69,7,Rain,356
2013-1-17,43,39,35,32,26,22,82,66,49,30.09,30.02,29.91,10,10,10,13,6,20,0.00,3,,318
2013-1-18,35,30,25,21,9,1,61,46,31,30.48,30.34,30.01,10,10,9,14,7,23,0.00,3,,323
2013-1-19,51,41,30,27,22,11,64,48,32,30.39,30.16,29.92,10,10,10,20,10,32,0.00,0,,237
2013-1-20,53,42,30,28,20,8,64,41,18,30.04,29.83,29.69,10,10,10,23,11,37,0.00,0,,270
2013-1-21,32,29,26,16,10,5,58,47,35,30.09,29.98,29.83,10,10,10,15,5,22,0.00,5,,270
2013-1-22,27,20,13,11,0,-8,58,43,28,30.20,30.03,29.83,10,10,7,20,11,29,T,2,,297
2013-1-23,20,16,11,0,-5,-8,53,42,31,30.25,30.20,30.16,10,10,10,17,8,26,0.00,2,,292
2013-1-24,22,17,12,2,-2,-7,61,46,31,30.38,30.25,30.13,10,10,10,20,8,31,0.00,1,,311
2013-1-25,24,19,13,17,8,-3,84,62,39,30.42,30.23,30.06,10,6,1,15,7,23,0.07,4,Snow,284
2013-1-26,27,21,15,12,7,4,80,59,38,30.37,30.17,30.04,10,10,10,17,7,27,0.00,0,,303
2013-1-27,34,27,19,10,8,6,67,50,33,30.52,30.46,30.38,10,10,10,14,6,21,0.00,0,,289
2013-1-28,36,33,29,33,26,10,96,69,42,30.48,30.21,30.01,10,5,0,13,5,20,0.22,7,Rain-Snow,233
2013-1-29,49,43,36,41,37,33,93,82,70,30.16,30.10,30.00,8,4,2,10,4,29,0.06,8,Rain,119
2013-1-30,59,49,39,53,46,37,100,89,77,30.06,29.77,29.37,10,4,0,15,5,23,0.04,7,Fog-Rain,121
2013-1-31,61,46,30,57,35,8,93,63,32,29.78,29.34,29.05,10,7,0,26,12,43,0.90,5,Fog-Rain,251
