EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2013-9-1,84,80,75,72,70,69,87,76,65,29.89,29.84,29.80,10,9,6,10,2,17,0.00,3,,177
2013-9-2,82,78,74,74,72,67,94,82,69,29.84,29.78,29.72,10,6,2,12,1,17,0.05,5,Rain,194
2013-9-3,82,75,68,71,65,52,93,67,40,29.90,29.79,29.71,10,7,2,12,3,19,0.03,5,Rain,335
2013-9-4,82,74,65,56,54,48,73,54,35,30.01,29.96,29.89,10,10,10,12,5,18,0.00,0,,273
2013-9-5,80,72,64,57,48,38,68,48,27,30.16,30.01,29.94,10,10,10,13,6,19,0.00,1,,307
2013-9-6,72,65,57,47,41,36,57,42,27,30.26,30.20,30.14,10,10,10,12,4,17,0.00,0,,334
2013-9-7,80,70,59,53,47,42,67,48,28,30.14,30.03,29.91,10,10,10,10,3,14,0.00,1,,253
2013-9-8,83,74,64,60,52,40,63,45,27,30.09,29.90,29.83,10,10,10,15,7,25,T,3,,337
2013-9-9,73,65,57,58,48,40,68,51,34,30.25,30.19,30.10,10,10,10,12,4,17,0.00,1,,75
2013-9-10,87,78,68,71,66,58,84,71,57,30.18,30.13,30.05,10,9,7,12,6,22,0.01,4,,239
2013-9-11,96,87,77,73,71,70,79,64,49,30.12,30.06,29.98,9,6,4,12,4,21,0.00,0,,239
2013-9-12,87,79,70,74,70,67,97,79,61,29.98,29.84,29.68,9,5,0,15,4,24,1.60,3,Fog-Rain,248
2013-9-13,77,68,59,67,57,46,93,70,47,29.86,29.71,29.65,10,9,3,14,5,24,0.06,2,Rain,301
2013-9-14,67,61,54,46,44,42,66,55,44,30.14,29.99,29.86,10,10,10,12,5,19,0.00,2,,290
2013-9-15,73,62,51,51,44,38,77,54,31,30.22,30.15,30.09,10,10,10,9,4,14,0.00,0,,278
2013-9-16,73,65,56,57,52,46,78,61,44,30.25,30.11,30.04,10,10,7,14,5,21,0.03,5,Rain,327
2013-9-17,65,58,50,43,37,33,61,49,36,30.44,30.37,30.27,10,10,10,17,5,25,0.00,0,,45
2013-9-18,72,62,51,50,43,39,69,51,33,30.36,30.28,30.20,10,10,10,9,3,15,0.00,0,,264
2013-9-19,78,67,55,54,48,44,72,52,31,30.20,30.14,30.08,10,10,9,8,3,13,0.00,0,,256
2013-9-20,79,70,60,57,54,53,78,60,42,30.09,30.05,30.01,10,10,8,9,3,16,0.00,0,,260
2013-9-21,77,69,61,67,62,56,90,77,64,30.02,29.85,29.68,10,9,2,16,4,28,0.72,5,Rain,193
2013-9-22,69,62,54,67,54,39,93,68,42,29.92,29.75,29.66,10,7,0,14,6,24,0.45,5,Fog-Rain,290
2013-9-23,66,58,50,42,40,37,71,54,37,30.05,29.99,29.93,10,10,10,12,4,19,0.00,0,,351
2013-9-24,73,60,47,42,40,39,76,54,31,30.06,29.98,29.88,10,10,10,12,4,17,0.00,0,,305
2013-9-25,73,63,52,50,44,39,71,52,33,29.96,29.93,29.88,10,10,10,7,2,11,0.00,0,,27
2013-9-26,71,65,58,55,53,51,80,69,57,30.11,30.03,29.95,10,10,10,10,4,16,0.00,5,,57
2013-9-27,69,63,57,53,50,48,80,66,52,30.27,30.20,30.11,10,10,10,10,5,14,0.00,6,,54
2013-9-28,73,65,56,52,50,47,83,62,41,30.33,30.28,30.24,10,10,10,12,5,17,0.00,1,,80
2013-9-29,72,65,57,56,53,48,87,66,44,30.24,30.17,30.10,10,10,10,9,3,14,0.00,2,,63
2013-9-30,75,66,56,53,51,46,86,62,38,30.09,30.04,29.98,10,10,7,12,3,17,0.00,0,,10
