Neighborhood,tripsnumber,revenue,tipamount,tippercentage,month
Steinway,19,282.54,25.54,0.0904,8
Utopia,1042,34666.93,2940.55,0.0848,8
Boerum Hill,16227,248954.57,23336.97,0.0937,8
Fort Green,29522,467753.77,42835.19,0.0916,8
Brownsville,251,3931.84,285.69,0.0727,8
Bushwick,3616,56335.18,5042.55,0.0895,8
Clinton,418159,5819817.29,429671.41,0.0738,8
City Island,7,213.72,86.06,0.4027,8
Borough Park,1280,23424.14,1922.71,0.0821,8
Gramercy,961287,11156596.82,1069724.12,0.0959,8
Astoria-Long Island City,57949,895515.78,66268.88,0.074,8
Garment District,709964,8586474.29,676463.77,0.0788,8
Morningside Heights,65838,931572.96,84148.24,0.0903,8
Flushing,2443,73924.2,5655.09,0.0765,8
East Harlem,37100,489625.54,35404.73,0.0723,8
Mott Haven,2636,40956.85,1966.2,0.048,8
Washington Heights,13503,271388.14,25123.25,0.0926,8
Carroll Gardens,20145,369351.62,38705.02,0.1048,8
Flatbush,18,314.8,27.97,0.0889,8
Laurelton,62,2101.78,140.34,0.0668,8
Canarsie,288,4813.36,379.59,0.0789,8
Tribeca,201071,2875102.41,274704.07,0.0955,8
The Rockaways,42,2205.54,115.2,0.0522,8
High Bridge,867,16426.95,912.69,0.0556,8
Midtown,1976370,23624919.13,2039065.18,0.0863,8
Saintalbans,42,950.57,48.4,0.0509,8
Queensboro Hill,111,2241.42,150.79,0.0673,8
Tremont,144,2366.15,133.83,0.0566,8
Chelsea,861667,10198415.72,976008.11,0.0957,8
Carnegie Hill,100022,1177713.93,96546.12,0.082,8
Douglastown-Little Neck,160,2704.54,164.27,0.0607,8
Murray Hill,423719,4964115.97,452555.47,0.0912,8
East Brooklyn,331,7285.23,559.31,0.0768,8
Nkew Gardens,1316,32072.73,2182.21,0.068,8
Springfield Gardens,344,16154.3,1214.18,0.0752,8
Woodlawn-Nordwood,48,714.26,15.75,0.0221,8
Hamilton Heights,21309,348773.43,29107.63,0.0835,8
Parkchester,224,3409.13,151.49,0.0444,8
Bedford-Stuyvesant,5624,87955.08,7315.81,0.0832,8
Morris Park,104,2202.59,132.71,0.0603,8
Sunset Park,652,11582.2,815.72,0.0704,8
Country Club,33,1004.97,50.48,0.0502,8
Maspeth,1031,33762.94,2525.58,0.0748,8
Throggs Neck,48,1160.31,47.67,0.0411,8
North Sutton Area,121027,1407919.23,120535.55,0.0856,8
Soundview,125,2480.58,120.75,0.0487,8
Glendale,135,2523.83,155.53,0.0616,8
Little Italy,112336,1465447.29,139208.29,0.095,8
Riverdale,104,2096.71,127.33,0.0607,8
Fordham,107,1996.81,81.66,0.0409,8
Yorkville,88656,1130300.76,88758.98,0.0785,8
Kings Bridge,146,2589.04,146.51,0.0566,8
Spuyten Duyvil,56,1101.98,140.55,0.1275,8
Battery Park,100124,1647820.87,162878.15,0.0988,8
Financial District,289171,4915011.57,459983.68,0.0936,9
Williamsburg,80260,1316357.51,130239.41,0.0989,9
West Village,387899,5002168.76,483772.64,0.0967,9
Ridgewood,749,12255.16,891.16,0.0727,9
Upper West Side,1067891,12898849.38,1156507.21,0.0897,9
Williams Bridge,47,898.13,38.98,0.0434,9
Cobble Hill,9009,172318.68,18551.35,0.1077,9
Inwood,778,15415.72,1194.68,0.0775,9
Queens Village,89,1401.71,79.72,0.0569,9
Auburndale,51,937.32,43.5,0.0464,9
Gramercy,1051595,12535247.12,1221279.1,0.0974,9
Chelsea,964423,11736174.12,1146898.05,0.0977,9
University Heights,156,2638.33,293.35,0.1112,9
Greenwood,1835,33770.79,3663.16,0.1085,9
Wakefield-Williamsbridge,54,1035.26,40.2,0.0388,9
Park Slope,17191,277196.36,27211.76,0.0982,9
Chinatown,48792,698304.26,53369.23,0.0764,9
Corona,520,21618.31,2288.62,0.1059,9
South Bronx,649,9416.88,487.76,0.0518,9
Sunny Side,42108,733208.74,58557.66,0.0799,9
Soho,324714,4293422.13,412241.51,0.096,9
Dyker Heights,96,2227.01,174.05,0.0782,9
Clearview,25,546.07,56.98,0.1043,9
Harlem,59650,849222.73,73821.64,0.0869,9
Bay Ridge,605,12266.82,1015.17,0.0828,9
Woodhaven-Richmond Hill,461,10190.81,496.61,0.0487,9
Jamaica,3171,166891.68,14497.7,0.0869,9
Bedford Park,140,2978.54,260.96,0.0876,9
East Village,479720,6238217.91,609478.76,0.0977,9
Hunts Point,70,1115.09,98.6,0.0884,9
Gravesend-Sheepshead Bay,416,7332.06,558.13,0.0761,9
Lower East Side,312956,4466132.92,422774.31,0.0947,9
Mapleton-Flatlands,1139,19131.68,1428.7,0.0747,9
Baychester,8,167.6,9.77,0.0583,9
Upper East Side,1728969,20449689.04,1776407.19,0.0869,9
Union Port,159,2758.69,179.65,0.0651,9
Central Park,180058,2159331.4,182247.31,0.0844,9
Woodside,9832,152777.93,8980.51,0.0588,9
Greenwich Village,640974,7932173.94,753453.75,0.095,9
Forest Hills,4520,94755.92,7011.37,0.074,9
Middle Village,275,4228.25,274.06,0.0648,9
Downtown,33927,575085.06,54070.61,0.094,9
Morris Heights,212,3210.79,157.8,0.0491,9
Steinway,14,255.82,28.82,0.1127,9
Utopia,1107,34062.36,2605.79,0.0765,9
Boerum Hill,19955,315173.32,29853.24,0.0947,9
Fort Green,37195,607378.81,57626.2,0.0949,9
Brownsville,169,2932.39,255.57,0.0872,9
Bushwick,5306,85755.69,7820.59,0.0912,9
Clinton,439208,5477197.34,473939.48,0.0865,9
City Island,3,142.93,16.6,0.1161,9
Borough Park,1446,29216.28,2552.74,0.0874,9
Jackson Heights,9283,185169.8,12718.14,0.0687,9
Astoria-Long Island City,58282,906668.04,67401.34,0.0743,9
Bensonhurst,178,3079.42,205.4,0.0667,9
Garment District,716168,8822688.54,726741.44,0.0824,9
Morningside Heights,92739,1331635.3,126477.44,0.095,9
Flushing,2953,92255.36,7893.14,0.0856,9
East Harlem,40680,537386.49,41101.23,0.0765,9
Mott Haven,2671,40242.41,2106.16,0.0523,9
Carroll Gardens,24919,462987,48966.9,0.1058,9
Flatbush,39,689.75,74.09,0.1074,9
Laurelton,62,1773.16,124.36,0.0701,9
Canarsie,201,3832.76,351.29,0.0917,9
Tribeca,244379,3456162.28,346473.8,0.1002,9
The Rockaways,26,752.18,98.35,0.1308,9
High Bridge,973,18581.46,1273.72,0.0685,9
Midtown,2054552,25265997.31,2270690.19,0.0899,9
Saintalbans,33,600.74,62.59,0.1042,9
Queensboro Hill,147,2301.54,142.98,0.0621,9
Tremont,153,2790.39,136.92,0.0491,9
Washington Heights,15874,321570.07,30372.79,0.0945,9
Carnegie Hill,152831,1807267.7,153137.63,0.0847,9
Douglastown-Little Neck,170,3414.87,188.08,0.0551,9
Murray Hill,432656,5161941.16,480515.4,0.0931,9
East Brooklyn,236,5506.97,493.52,0.0896,9
Nkew Gardens,1476,35266.26,2529.46,0.0717,9
Springfield Gardens,323,14681.73,1201.86,0.0819,9
Woodlawn-Nordwood,46,747.94,63.61,0.085,9
Hamilton Heights,24061,392197.88,34335.4,0.0875,9
Parkchester,212,3237.2,189.22,0.0585,9
Bedford-Stuyvesant,6860,106805.38,9327.4,0.0873,9
Morris Park,134,2542.76,201.45,0.0792,9
Sunset Park,763,14113.18,1059.62,0.0751,9
Country Club,35,783.65,96.5,0.1231,9
Maspeth,1150,37252.55,3298.54,0.0885,9
Throggs Neck,60,1197,73.04,0.061,9
North Sutton Area,136765,1615847.63,137547.14,0.0851,9
Soundview,179,2632.09,179.61,0.0682,9
Glendale,213,3517.39,254.59,0.0724,9
Little Italy,124561,1649615.14,157937.99,0.0957,9
Riverdale,135,2548.48,211.79,0.0831,9
Fordham,134,2497.56,154.15,0.0617,9
Yorkville,102491,1319119.48,106016.8,0.0804,9
Kings Bridge,190,3354.35,278.51,0.083,9
Spuyten Duyvil,50,1067.68,82.74,0.0775,9
Battery Park,110089,1830548.37,186390.76,0.1018,9
Financial District,293684,5047406.99,486363.25,0.0964,10
Williamsburg,74760,1219798.82,123359.06,0.1011,10
West Village,380148,4871995.72,476233.42,0.0977,10
Ridgewood,588,9795.52,780.5,0.0797,10
Jackson Heights,8820,171711.51,12061.62,0.0702,10
Williams Bridge,61,1143.34,106.52,0.0932,10
Cobble Hill,9355,182793.59,20302.88,0.1111,10
Inwood,929,17720.46,1470.74,0.083,10
Queens Village,90,2015.47,121.34,0.0602,10
Auburndale,95,1453.49,89.83,0.0618,10
Gramercy,1126768,13331157.71,1318289.25,0.0989,10
Chelsea,985064,12024184.78,1187421.88,0.0988,10
University Heights,144,2489.63,141.65,0.0569,10
Greenwood,1859,34594.15,3768.02,0.1089,10
Wakefield-Williamsbridge,57,1109.86,24.2,0.0218,10
Park Slope,18213,297347.63,29697.32,0.0999,10
Chinatown,47560,672855.57,53455.14,0.0794,10
Corona,499,20271.62,2279.86,0.1125,10
South Bronx,639,8999.03,501.07,0.0557,10
Sunny Side,45455,804532.94,66721.22,0.0829,10
Soho,324277,4256129.82,412866.71,0.097,10
Clearview,23,507.38,27.73,0.0547,10
Dyker Heights,106,2410.27,181.46,0.0753,10
Upper West Side,1174143,14103452.8,1264463.83,0.0897,10
Harlem,59010,823208.36,71595.96,0.087,10
Bay Ridge,602,11997.22,1073.92,0.0895,10
Woodhaven-Richmond Hill,461,10381.51,678.14,0.0653,10
Jamaica,3300,172994.52,14549.21,0.0841,10
Bedford Park,239,5036.37,435.93,0.0866,10
East Village,497658,6424117.19,636686.8,0.0991,10
Hunts Point,78,1185.69,66.36,0.056,10
Gravesend-Sheepshead Bay,396,6874.68,559.22,0.0813,10
Lower East Side,318378,4520936.21,434867.81,0.0962,10
Mapleton-Flatlands,1149,18703.19,1388.89,0.0743,10
Baychester,14,210,14.5,0.069,10
Upper East Side,1919926,22745911.11,1988172.5,0.0874,10
Union Port,151,2553.82,163.83,0.0642,10
Central Park,196731,2353190.28,201222.85,0.0855,10
Woodside,9438,150933.04,9398.01,0.0623,10
Greenwich Village,673979,8324441.61,799243.97,0.096,10
Forest Hills,4313,93620.85,7659.93,0.0818,10
Middle Village,215,4327.07,179.97,0.0416,10
Downtown,33442,574133.05,54165.97,0.0943,10
Morris Heights,261,4587.71,315.89,0.0689,10
Steinway,7,155,19,0.1226,10
Utopia,1134,34932.51,2775.63,0.0795,10
Boerum Hill,19697,314084.49,30356.44,0.0967,10
Fort Green,37311,610380.52,59487.31,0.0975,10
Brownsville,204,3611.69,280.5,0.0777,10
Bushwick,4393,70004.27,6895.78,0.0985,10
Clinton,458473,5719436.58,502317.61,0.0878,10
City Island,3,171.39,28.56,0.1666,10
Borough Park,1421,29017.04,2619.92,0.0903,10
Parkchester,232,4097.76,277.37,0.0677,10
Astoria-Long Island City,57647,905326.74,69187.7,0.0764,10
Garment District,730672,8910284.93,745714.74,0.0837,10
Morningside Heights,100182,1451324.42,140091.17,0.0965,10
Flushing,1260,36591.27,3019.78,0.0825,10
East Harlem,39683,523580.51,39794.86,0.076,10
Mott Haven,2511,39270.88,2143.54,0.0546,10
Washington Heights,16452,327488.19,31587.09,0.0965,10
Carroll Gardens,25934,488304.57,53102.42,0.1087,10
Flatbush,20,307.7,40.2,0.1306,10
Laurelton,90,1689.07,86.94,0.0515,10
Canarsie,152,3440.24,382.41,0.1112,10
Tribeca,255936,3636763.84,372118.41,0.1023,10
The Rockaways,52,1543.41,218.09,0.1413,10
High Bridge,692,10922.75,613.8,0.0562,10
Midtown,2279137,28193712.49,2572254,0.0912,10
Saintalbans,49,978.4,67.57,0.0691,10
Queensboro Hill,125,2183.16,135.85,0.0622,10
Tremont,182,2930.79,206.9,0.0706,10
Bensonhurst,181,3571.65,298.24,0.0835,10
Carnegie Hill,174734,2089764.8,178647.6,0.0855,10
Douglastown-Little Neck,188,4049.17,257.49,0.0636,10
Murray Hill,465517,5520827.11,520192.84,0.0942,10
East Brooklyn,269,5844.7,424.06,0.0726,10
Nkew Gardens,1682,39656.13,3499.2,0.0882,10
Springfield Gardens,313,13475.94,1037.76,0.077,10
Woodlawn-Nordwood,68,1083.39,119.06,0.1099,10
Hamilton Heights,24378,388571.75,34741.64,0.0894,10
Bedford-Stuyvesant,6683,105665.52,9397.59,0.0889,10
Morris Park,101,2071.93,135.29,0.0653,10
Sunset Park,771,14964.99,1104.76,0.0738,10
Country Club,27,641.55,62.22,0.097,10
Maspeth,1075,36496.2,3129.12,0.0857,10
Throggs Neck,59,1122.82,102.34,0.0911,10
North Sutton Area,154102,1809312.79,156573.02,0.0865,10
Soundview,166,2852.02,178.69,0.0627,10
Glendale,117,2600.29,174.82,0.0672,10
Little Italy,132154,1721872.31,166692.54,0.0968,10
Riverdale,157,3389.86,315.54,0.0931,10
Fordham,164,3133.55,189.25,0.0604,10
Yorkville,108714,1403170.94,114266.4,0.0814,10
Kings Bridge,192,3278.59,244.69,0.0746,10
Spuyten Duyvil,63,1323.55,121.48,0.0918,10
Battery Park,118830,1968196.05,203878.77,0.1036,10
Financial District,242180,4144874.54,410518.72,0.099,11
Williamsburg,67838,1110755.74,114460.86,0.103,11
West Village,333074,4277209.78,428156.02,0.1001,11
Ridgewood,462,7119.24,548.06,0.077,11
Jackson Heights,8136,150380.98,10822.37,0.072,11
Williams Bridge,61,1258.21,90.22,0.0717,11
Cobble Hill,7866,148406.28,16727.02,0.1127,11
Inwood,716,13852.8,1255.28,0.0906,11
Harlem,51928,711709.37,61631.62,0.0866,11
Auburndale,47,1153.76,31.61,0.0274,11
Gramercy,992067,11808927.29,1188342.12,0.1006,11
Chelsea,852622,10446471.27,1045696.75,0.1001,11
University Heights,140,2295.82,121.5,0.0529,11
Greenwood,1488,26924.73,3028.01,0.1125,11
Wakefield-Williamsbridge,49,1102.7,38.2,0.0346,11
Park Slope,16181,258373.68,26319.33,0.1019,11
Chinatown,41687,588844.8,48820.12,0.0829,11
Corona,407,16661.76,1956.68,0.1174,11
South Bronx,546,8271.1,579.28,0.07,11
Sunny Side,39619,690385.92,59106.39,0.0856,11
Soho,278649,3665472.19,363641.1,0.0992,11
Clearview,7,252.55,25.89,0.1025,11
Dyker Heights,104,1869.96,108.32,0.0579,11
Upper West Side,1038415,12459959.99,1131574.33,0.0908,11
Queens Village,68,1078.8,54.32,0.0504,11
Bay Ridge,509,9822.08,869.95,0.0886,11
Woodhaven-Richmond Hill,415,8126.26,645.73,0.0795,11
Jamaica,2634,136823.58,12340.11,0.0902,11
Bedford Park,147,3549.33,207.14,0.0584,11
East Village,457165,5934901.3,602555.76,0.1015,11
Hunts Point,71,1131.65,71,0.0627,11
Gravesend-Sheepshead Bay,337,7701.49,675.38,0.0877,11
Lower East Side,288300,4078852.33,403276.44,0.0989,11
Mapleton-Flatlands,1001,16952.43,1266.53,0.0747,11
Baychester,12,366.93,12.77,0.0348,11
Upper East Side,1705767,20263182.65,1807950.52,0.0892,11
Union Port,157,2498.59,165.28,0.0661,11
Central Park,165164,1971340.26,171946.98,0.0872,11
Woodside,8749,137571.19,8423.57,0.0612,11
Greenwich Village,594211,7354574.8,722802.24,0.0983,11
Forest Hills,4004,83475.2,6398.9,0.0767,11
Middle Village,217,3896.74,258.78,0.0664,11
Downtown,28059,474662.35,45687.72,0.0963,11
Morris Heights,179,2747.92,157.42,0.0573,11
Steinway,16,197.2,20.7,0.105,11
Utopia,1004,30523.53,2610.98,0.0855,11
Boerum Hill,16654,261240.73,25821.87,0.0988,11
Fort Green,34146,547758.52,53778.84,0.0982,11
Brownsville,135,2506,176.64,0.0705,11
Bushwick,4713,76139.39,7785.39,0.1023,11
Clinton,392246,4876788.16,439560.79,0.0901,11
City Island,8,193.9,15.9,0.082,11
Borough Park,1291,25700.58,2295.88,0.0893,11
Parkchester,220,3904.43,235.64,0.0604,11
Astoria-Long Island City,50457,778139.67,61063.82,0.0785,11
Garment District,637246,7810609.21,659862.58,0.0845,11
Morningside Heights,75057,1066989.26,103429.44,0.0969,11
Flushing,1696,39728.37,3215.71,0.0809,11
East Harlem,33223,433896.73,31654.03,0.073,11
Mott Haven,2157,31296.99,1789.07,0.0572,11
Washington Heights,12708,244550.7,22849.44,0.0934,11
Carroll Gardens,21485,394732.07,42899.06,0.1087,11
Flatbush,20,321.55,22.72,0.0707,11
Laurelton,48,1744.2,150.91,0.0865,11
Canarsie,143,3026.02,230.89,0.0763,11
Tribeca,222847,3146424.18,326799.83,0.1039,11
The Rockaways,34,1073.95,44.47,0.0414,11
High Bridge,744,12374.85,745.82,0.0603,11
Midtown,1956945,24123431.76,2218764.26,0.092,11
Saintalbans,59,1270.94,106.28,0.0836,11
Queensboro Hill,98,1501.54,103.72,0.0691,11
Tremont,120,1935.42,88.26,0.0456,11
Bensonhurst,162,3021.24,185.96,0.0616,11
Carnegie Hill,158311,1892814.02,162993.41,0.0861,11
Douglastown-Little Neck,118,2905.61,222.16,0.0765,11
Murray Hill,400461,4758955.59,453576.97,0.0953,11
East Brooklyn,194,4027.81,302.77,0.0752,11
Nkew Gardens,1297,31676.77,2630.45,0.083,11
Springfield Gardens,205,10061.48,921.01,0.0915,11
Woodlawn-Nordwood,62,1204.31,190.37,0.1581,11
Hamilton Heights,19820,313943.04,27576.85,0.0878,11
Bedford-Stuyvesant,6540,102796.54,9889.14,0.0962,11
Morris Park,90,1779.67,217.85,0.1224,11
Sunset Park,588,11383.55,915.26,0.0804,11
Country Club,32,551.53,47.53,0.0862,11
Maspeth,934,30504.19,2855.66,0.0936,11
Throggs Neck,85,1760.86,121.19,0.0688,11
North Sutton Area,137803,1611567.48,141103.12,0.0876,11
Soundview,168,2470.45,160.64,0.065,11
Glendale,131,1995.68,175.9,0.0881,11
Little Italy,117331,1530171.87,152362.9,0.0996,11
Riverdale,104,2591.94,326.6,0.126,11
Fordham,138,2499.98,181.22,0.0725,11
Eastchester,2,16,1,0.0625,11
Yorkville,90114,1157788.42,95176.54,0.0822,11
Kings Bridge,173,3271.31,179.72,0.0549,11
Spuyten Duyvil,54,1225.28,64.84,0.0529,11
Battery Park,100984,1665298.75,176761.94,0.1061,11
Financial District,168879,2948328.02,297896.74,0.101,12
Williamsburg,39406,618604.2,64068.66,0.1036,12
West Village,211741,2749258.93,285060.63,0.1037,12
Ridgewood,353,5209.05,454.59,0.0873,12
Jackson Heights,5394,101312.57,7525.32,0.0743,12
Williams Bridge,52,1406.85,146.92,0.1044,12
Cobble Hill,5486,100584.01,11601.78,0.1153,12
Inwood,497,8723.14,783.63,0.0898,12
Queens Village,63,1264.51,55.7,0.044,12
Auburndale,18,359.45,26.79,0.0745,12
Gramercy,647625,7788369.82,791648.83,0.1016,12
Chelsea,553542,6849959.42,703743.34,0.1027,12
University Heights,89,1438.65,96.82,0.0673,12
Greenwood,1023,19427.88,2110.38,0.1086,12
Woodhaven-Richmond Hill,311,6332.02,555.44,0.0877,12
Park Slope,10839,170202.51,17653.23,0.1037,12
Chinatown,27888,399788.25,33879.1,0.0847,12
Corona,342,14305.27,1699.48,0.1188,12
South Bronx,461,6485.99,298.08,0.046,12
Sunny Side,25155,438756.57,37292.37,0.085,12
Soho,181172,2391682.05,245445.33,0.1026,12
Clearview,9,408.98,51.82,0.1267,12
Dyker Heights,87,1433.51,111.35,0.0777,12
Upper West Side,697296,8508178.83,784264.81,0.0922,12
Harlem,35337,477614.59,40761.52,0.0853,12
Bay Ridge,381,7227.42,668.2,0.0925,12
Wakefield-Williamsbridge,35,665.84,18.18,0.0273,12
Jamaica,1742,92699.06,8644.44,0.0933,12
Bedford Park,113,1993.32,118.56,0.0595,12
East Village,290044,3744449.81,381750.83,0.102,12
Hunts Point,65,846.98,51.15,0.0604,12
Gravesend-Sheepshead Bay,286,5273.12,416.89,0.0791,12
Lower East Side,186134,2611414.97,262834.4,0.1006,12
Mapleton-Flatlands,833,12909.54,1096.82,0.085,12
Baychester,10,202.33,13.12,0.0648,12
Upper East Side,1151753,13834155.39,1245427.55,0.09,12
Union Port,117,1890.6,109.61,0.058,12
Central Park,113908,1386605.91,122307.64,0.0882,12
Woodside,5446,88208.78,5968.5,0.0677,12
Greenwich Village,373234,4608089.43,463293.67,0.1005,12
Forest Hills,2372,51409.8,4218.36,0.0821,12
Middle Village,166,2801.82,203.22,0.0725,12
Downtown,18257,300619.94,29152.11,0.097,12
Morris Heights,133,2002.09,161.6,0.0807,12
Steinway,29,333.12,30.29,0.0909,12
Utopia,553,17279.1,1378.66,0.0798,12
Boerum Hill,11490,175515.04,17288.13,0.0985,12
Fort Green,24045,374582.21,37231.71,0.0994,12
Brownsville,117,3598.93,322.35,0.0896,12
Bushwick,2887,42397.45,4367.23,0.103,12
Clinton,259641,3291304.11,301585.87,0.0916,12
City Island,2,87.5,14,0.16,12
Borough Park,883,17887.88,1600.48,0.0895,12
Parkchester,234,3324.72,244.24,0.0735,12
Astoria-Long Island City,32937,499777.59,40042.14,0.0801,12
Garment District,432308,5365826.81,458929.13,0.0855,12
Morningside Heights,49846,700620.13,68024.34,0.0971,12
Flushing,1290,29184.14,2515.64,0.0862,12
East Harlem,22198,285752.7,20307.79,0.0711,12
Mott Haven,1595,22706.92,1086.91,0.0479,12
Washington Heights,8973,167484.66,15436.91,0.0922,12
Carroll Gardens,13948,251873.16,27726.67,0.1101,12
Flatbush,11,139.38,12.38,0.0888,12
Laurelton,72,1485.41,139.93,0.0942,12
Canarsie,155,2516.76,262.8,0.1044,12
Tribeca,150626,2160353.95,227541.86,0.1053,12
The Rockaways,8,299.31,16.6,0.0555,12
High Bridge,455,6777.14,367.58,0.0542,12
Midtown,1305726,16465560.57,1538036.23,0.0934,12
Saintalbans,18,420.66,31.5,0.0749,12
Queensboro Hill,78,1334.7,88.05,0.066,12
Tremont,120,1909.27,109.62,0.0574,12
Bensonhurst,123,2918.34,138.9,0.0476,12
Carnegie Hill,109458,1320412.09,116148.54,0.088,12
Douglastown-Little Neck,95,1229.81,105.5,0.0858,12
Murray Hill,264545,3209816.58,312159.6,0.0973,12
East Brooklyn,230,5241.66,436.47,0.0833,12
Nkew Gardens,790,18632.91,1510.52,0.0811,12
Springfield Gardens,180,8444.36,729.25,0.0864,12
Woodlawn-Nordwood,26,1013.11,20.95,0.0207,12
Hamilton Heights,13493,208164.53,17883.55,0.0859,12
Bedford-Stuyvesant,4664,72738.52,7133.85,0.0981,12
Morris Park,47,979.28,59.12,0.0604,12
Sunset Park,399,7576.72,608.16,0.0803,12
Country Club,29,555.03,32.7,0.0589,12
Maspeth,678,21371.78,1948.21,0.0912,12
Throggs Neck,44,706.86,82.72,0.117,12
North Sutton Area,95228,1163871.71,104773.24,0.09,12
Soundview,138,2112.65,137.34,0.065,12
Glendale,64,1146.8,81.82,0.0713,12
Little Italy,78172,1027090.53,105633.49,0.1028,12
Riverdale,113,2441.11,172.31,0.0706,12
Fordham,100,1475.51,74.19,0.0503,12
Yorkville,61144,789616.07,66373.79,0.0841,12
Kings Bridge,133,2734.38,196.16,0.0717,12
Spuyten Duyvil,62,1656.76,168.36,0.1016,12
Battery Park,69234,1160365.23,124829.46,0.1076,12
