Neighborhood,tripsnumber,revenue,tipamount,tippercentage,month
Downtown,33997,564841.73,50431.13,0.0893,3
Morris Heights,489,7270.54,423.23,0.0582,3
Steinway,49,707.22,73.72,0.1042,3
Utopia,1043,34978.1,2930.9,0.0838,3
Boerum Hill,21252,325308.45,29093.87,0.0894,3
Fort Green,33842,529187.95,45683.24,0.0863,3
Brownsville,301,4522.68,236.6,0.0523,3
Bushwick,3196,48419.1,4135.73,0.0854,3
Clinton,486584,5843590.61,493386,0.0844,3
City Island,54,604.51,50.01,0.0827,3
Borough Park,1785,31393.56,2475.48,0.0789,3
Gramercy,1224646,13967685.18,1330894.47,0.0953,3
Astoria-Long Island City,68073,1023388.53,72644.01,0.071,3
Garment District,816096,9615814.5,763846.3,0.0794,3
Morningside Heights,109323,1540071.61,139624.88,0.0907,3
Flushing,1524,41123,3403.97,0.0828,3
East Harlem,52329,663907.09,44427.28,0.0669,3
Mott Haven,3704,50726,2554.43,0.0504,3
Washington Heights,19013,365372.91,32283.57,0.0884,3
Carroll Gardens,24258,435433.24,44632.86,0.1025,3
Flatbush,24,371.65,42.65,0.1148,3
Laurelton,53,1629.11,136.38,0.0837,3
Canarsie,316,6943.97,673.3,0.097,3
Tribeca,262896,3606304.98,352793.56,0.0978,3
The Rockaways,37,830.59,37.92,0.0457,3
High Bridge,1137,17408.65,881.45,0.0506,3
Midtown,2435976,28481804.81,2489093.19,0.0874,3
Saintalbans,86,1439.27,98.65,0.0685,3
Queensboro Hill,128,2339.45,158.01,0.0675,3
Tremont,358,6109.51,292.89,0.0479,3
Chelsea,1029480,12001948.59,1142642.59,0.0952,3
Carnegie Hill,157904,1806191.53,143283.52,0.0793,3
Douglastown-Little Neck,298,4821.14,471.24,0.0977,3
Murray Hill,512346,5864332.51,534913.62,0.0912,3
East Brooklyn,331,6596.62,459.01,0.0696,3
Nkew Gardens,1626,37894.4,2830.39,0.0747,3
Springfield Gardens,406,19011.86,1503.76,0.0791,3
Woodlawn-Nordwood,79,1754.74,131.85,0.0751,3
Hamilton Heights,29813,457166.05,36263.63,0.0793,3
Parkchester,481,7543.05,486.97,0.0646,3
Bedford-Stuyvesant,6022,89152.44,6989.24,0.0784,3
Morris Park,193,3529.21,219.46,0.0622,3
Sunset Park,683,12035.32,843.53,0.0701,3
Woodside,11811,184834.85,10870.31,0.0588,3
Maspeth,1221,43730.72,3656.89,0.0836,3
Throggs Neck,80,1489.59,90.12,0.0605,3
North Sutton Area,158596,1804791.89,150431.74,0.0834,3
Soundview,288,4695.54,284.6,0.0606,3
Glendale,201,3452,198.06,0.0574,3
Little Italy,143021,1807869.28,172655.71,0.0955,3
Riverdale,153,2747.84,200.67,0.073,3
Fordham,206,3368.85,170.57,0.0506,3
Yorkville,123164,1542600.94,117742.64,0.0763,3
Kings Bridge,247,3302.31,166.64,0.0505,3
Spuyten Duyvil,87,2275.61,208.67,0.0917,3
Battery Park,117064,1925931.16,197794.24,0.1027,3
Financial District,279909,4747436.41,450248.18,0.0948,4
Williamsburg,63785,1025503.49,99705.73,0.0972,4
West Village,376868,4768045.25,457457.89,0.0959,4
Ridgewood,377,5653.68,405.53,0.0717,4
Jackson Heights,8375,164321.72,11050.29,0.0672,4
Williams Bridge,60,1057.04,47.55,0.045,4
Cobble Hill,9224,172869.85,18388.65,0.1064,4
Inwood,830,17336.21,1497.86,0.0864,4
Harlem,60555,834851.75,67444.89,0.0808,4
Auburndale,65,1712.57,76.08,0.0444,4
Gramercy,1160153,13459893.31,1286160.13,0.0956,4
Bensonhurst,215,3516.8,283.68,0.0807,4
University Heights,148,2360.74,100.97,0.0428,4
Greenwood,1729,31024.11,2973.21,0.0958,4
Wakefield-Williamsbridge,79,1649.22,103.41,0.0627,4
Park Slope,15460,236799.56,21139.89,0.0893,4
Chinatown,47412,672197.15,51214.91,0.0762,4
Corona,519,21166.54,2227.67,0.1052,4
South Bronx,792,11335.99,595.37,0.0525,4
Sunny Side,40580,706215.33,52804.37,0.0748,4
Soho,331987,4313486.42,413516.76,0.0959,4
Clearview,19,379.27,26.11,0.0688,4
Dyker Heights,112,2806.61,286.84,0.1022,4
Upper West Side,1165153,13811038.81,1192204.88,0.0863,4
Queens Village,95,2220.62,138.99,0.0626,4
Bay Ridge,599,10372.96,763.26,0.0736,4
Woodhaven-Richmond Hill,417,7830.71,476.98,0.0609,4
Jamaica,2988,161992.96,13957.95,0.0862,4
Bedford Park,173,3480.3,337.67,0.097,4
East Village,491124,6247092.23,600499.71,0.0961,4
Hunts Point,159,2487.68,183.36,0.0737,4
Gravesend-Sheepshead Bay,441,7404.3,542.04,0.0732,4
Lower East Side,316485,4396206.81,409681.35,0.0932,4
Mapleton-Flatlands,1194,19416.4,1401.6,0.0722,4
Baychester,18,394.08,11.25,0.0285,4
Upper East Side,1937924,22456836.57,1886525.31,0.084,4
Union Port,152,2643.61,119.3,0.0451,4
Central Park,194677,2267466.38,184462,0.0814,4
Woodside,10317,161900.96,9326.73,0.0576,4
Greenwich Village,677389,8246071.1,771884.04,0.0936,4
Forest Hills,5278,106013.25,6948.89,0.0655,4
Middle Village,182,3628.68,231.75,0.0639,4
Downtown,33138,565355.66,50870.37,0.09,4
Morris Heights,284,4090.1,258.56,0.0632,4
Steinway,25,299.84,26.84,0.0895,4
Utopia,1045,32661.58,2642.8,0.0809,4
Boerum Hill,18168,287903.14,26659.95,0.0926,4
Fort Green,32094,513020.09,45019.01,0.0878,4
Brownsville,185,2748.96,155.3,0.0565,4
Bushwick,2774,42106.01,3581.27,0.0851,4
Clinton,451622,5541234.78,468265.3,0.0845,4
City Island,10,302.83,6.5,0.0215,4
Borough Park,1496,27026.85,2240.39,0.0829,4
Parkchester,581,9000.37,712.1,0.0791,4
Astoria-Long Island City,59409,913914.82,66315.35,0.0726,4
Garment District,746665,8913225.98,717372.76,0.0805,4
Morningside Heights,116309,1654152.02,154155.5,0.0932,4
Flushing,1431,38173.94,2766.49,0.0725,4
East Harlem,43554,570574.98,39876.71,0.0699,4
Mott Haven,2939,42812.73,2401.36,0.0561,4
Carroll Gardens,23409,433242.14,45496.17,0.105,4
Flatbush,23,392.01,39.85,0.1017,4
Laurelton,72,1646.98,138.68,0.0842,4
Canarsie,406,6965.58,671.15,0.0964,4
Tribeca,259606,3644634.06,358634.25,0.0984,4
The Rockaways,32,626.17,46.51,0.0743,4
High Bridge,1186,20356.28,1322.27,0.065,4
Midtown,2307200,27457914.76,2439044.45,0.0888,4
Saintalbans,46,939.46,43.31,0.0461,4
Queensboro Hill,133,2323.65,152.01,0.0654,4
Tremont,268,3946.56,215.41,0.0546,4
Washington Heights,18610,366813.99,33550.66,0.0915,4
Carnegie Hill,174006,2013358.25,161496.99,0.0802,4
Douglastown-Little Neck,213,3655.17,284.43,0.0778,4
Murray Hill,488902,5674419.38,518918.31,0.0914,4
East Brooklyn,304,7159.71,596.45,0.0833,4
Nkew Gardens,1671,39532.37,2998.68,0.0759,4
Springfield Gardens,411,21025.79,1767.72,0.0841,4
Woodlawn-Nordwood,76,1267,91.47,0.0722,4
Hamilton Heights,26183,415831.91,34795.74,0.0837,4
Bedford-Stuyvesant,5420,82662.33,6676.4,0.0808,4
Morris Park,131,2485.99,132.85,0.0534,4
Sunset Park,613,10851.32,699.76,0.0645,4
Chelsea,993858,11885026.8,1145491.3,0.0964,4
Country Club,95,2321.8,187.98,0.081,4
Maspeth,1117,38129.57,3133.27,0.0822,4
Throggs Neck,68,1476.82,118.18,0.08,4
North Sutton Area,154609,1793841.7,149340.46,0.0833,4
Soundview,201,2969.24,172.93,0.0582,4
Glendale,133,2548.04,150.41,0.059,4
Little Italy,130466,1687165.5,161030.1,0.0954,4
Riverdale,118,2817.31,177.77,0.0631,4
